threshold,interventions,intervention_rate,recovered_payments,recovered_value,recovery_rate,intervention_cost,friction_cost,net_recovered_value,net_per_intervention
0.05,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.075,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.1,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.125,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.15,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.175,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.2,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.225,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.25,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.275,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.3,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.325,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.35,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.375,581,1.0,388,866564.81,0.6678141135972461,871.5,145.25,865548.06,1489.7556970740104
0.4,580,0.9982788296041308,388,866564.81,0.6689655172413793,870.0,145.0,865549.81,1492.3272586206897
0.425,579,0.9965576592082617,388,866564.81,0.6701208981001727,868.5,144.75,865551.56,1494.9077029360967
0.45,578,0.9948364888123924,388,866564.81,0.671280276816609,867.0,144.5,865553.31,1497.4970761245677
0.475,577,0.9931153184165232,388,866564.81,0.6724436741767764,865.5,144.25,865555.06,1500.095424610052
0.5,574,0.9879518072289156,387,866072.06,0.6742160278745645,861.0,143.5,865067.56,1507.0863414634148
0.525,571,0.9827882960413081,385,863725.25,0.6742556917688266,856.5,142.75,862726.0,1510.9036777583187
0.55,561,0.9655765920826161,382,852093.5,0.6809269162210339,841.5,140.25,851111.75,1517.1332442067737
0.575,550,0.9466437177280551,374,803543.6800000002,0.68,825.0,137.5,802581.1800000002,1459.2385090909095
0.6,512,0.8812392426850258,357,750395.9299999999,0.697265625,768.0,128.0,749499.9299999999,1463.8670507812499
0.625,434,0.7469879518072289,314,670579.2199999999,0.7235023041474654,651.0,108.5,669819.7199999999,1543.3634101382486
0.65,342,0.5886402753872634,254,508632.49,0.7426900584795322,513.0,85.5,508033.99,1485.4795029239765
0.675,292,0.5025817555938038,216,435979.0900000001,0.7397260273972602,438.0,73.0,435468.0900000001,1491.329075342466
0.7,202,0.3476764199655766,158,324978.75000000006,0.7821782178217822,303.0,50.5,324625.25000000006,1607.0556930693072
0.725,122,0.2099827882960413,97,204463.46999999997,0.7950819672131147,183.0,30.5,204249.96999999997,1674.1800819672128
0.75,39,0.06712564543889846,33,83445.77,0.8461538461538461,58.5,9.75,83377.52,2137.8851282051282
0.775,2,0.0034423407917383822,2,10017.77,1.0,3.0,0.5,10014.27,5007.135
0.8,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.825,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.875,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.925,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
