metric,value
experiment_file,D:\RECLAIM\data\generated\reclaim_causal_experiment_v2.csv
rows,10000
columns,74
treatment_rows,5013
control_rows,4987
treatment_rate,0.5013
treatment_recovery_rate,0.7350887692000798
control_recovery_rate,0.679366352516543
observed_recovery_lift,0.055722416683536835
mean_treatment_effect,0.056019695150751954
treatment_effect_std,0.00520432940401463
expected_incremental_net_value_mean,123.04040173034404
observed_incremental_net_value_per_transaction,103.09104236024632
expected_observed_economic_gap,-19.949359370097724
features_available,23
features_missing,0
counterfactual_columns_available,8
max_probability_difference,9.71445146547012e-17
max_net_value_difference,1.1368683772161603e-13
duplicate_transaction_ids,0
positive_effect_rows,10000
negative_effect_rows,0
zero_effect_rows,0
readiness_checks_passed,11
readiness_checks_total,11
final_status,READY
