transaction_id,amount,failure_reason,treatment,control,treatment_group,recovery_probability,confidence,control_recovery_probability,treatment_recovery_probability,incremental_recovery_probability,observed_recovery_probability,recovered,recovery_flag,recovered_amount,intervention_cost,customer_friction_cost,net_recovered_value,expected_control_recovery,expected_treatment_recovery,expected_incremental_recovery,expected_incremental_net_value,treatment_effect,calibrated_probability,recommended_policy,policy_threshold,expected_recovery,expected_intervention_cost,expected_friction_cost,expected_net_recovery,recovery_status,predicted_uplift,predicted_incremental_net_value,probability_band,amount_band,confidence_band
T0022306,26703.03,LIMIT_EXCEEDED,0,1,CONTROL,0.5616687243091443,0.3134906286773715,0.5616687243091443,0.601117397248806,0.0394486729396617,0.5616687243091443,1,1,25286.119035235184,0.0,0.0,25286.119035235184,12748.518275995488,13643.907508418266,895.3892324227782,893.6392324227782,0.0394486729396616,0.5616687243091443,INTERVENE,0.475,14998.256795288808,1.5,0.25,14996.506795288808,RECOVERED,-0.2803923788974095,-7487.326105468892,0.50-0.60,"(2879.41, 26703.03]",>0.30
T0026878,12853.93,PAYMENT_TIMEOUT,1,0,RECLAIM,0.7628484131990617,0.3198559877560609,0.7628484131990617,0.7955422381861172,0.0326938249870555,0.7955422381861172,1,1,9645.592344268169,1.5,0.25,9643.842344268169,8334.760088291043,8691.967605434527,357.20751714348444,355.45751714348444,0.0326938249870555,0.7628484131990617,INTERVENE,0.475,9805.600103871817,1.5,0.25,9803.850103871817,RECOVERED,-0.160728744713313,-2067.7460335327955,>0.70,"(2879.41, 26703.03]",>0.30
T0000835,9567.33,PAYMENT_TIMEOUT,0,1,CONTROL,0.779541107046033,0.3849742988934128,0.779541107046033,0.8145810117496254,0.0350399047035924,0.779541107046033,1,1,7118.659144820659,0.0,0.0,7118.659144820659,6339.407966723514,6624.360548471162,284.95258174764786,283.20258174764786,0.0350399047035924,0.779541107046033,INTERVENE,0.475,7458.127019674723,1.5,0.25,7456.377019674723,RECOVERED,-0.1251653586329,-1197.4982906093032,>0.70,"(2879.41, 26703.03]",>0.30
T0038230,11837.46,NETWORK_ERROR,0,1,CONTROL,0.6902532745440629,0.0672831089128134,0.6902532745440629,0.7141221498360973,0.0238688752920344,0.6902532745440629,0,0,0.0,0.0,0.0,0.0,6945.218698191708,7185.383526228987,240.1648280372792,238.4148280372792,0.0238688752920343,0.6902532745440629,INTERVENE,0.475,8170.845527284363,1.5,0.25,8169.095527284363,NOT_RECOVERED,0.056488727482427,668.6830520241309,0.60-0.70,"(2879.41, 26703.03]",<0.10
T0032751,13412.25,INSUFFICIENT_FUNDS,1,0,RECLAIM,0.641923788835134,0.0824345359093956,0.641923788835134,0.6681660103418271,0.026242221506693,0.6681660103418271,1,1,12700.560914940948,1.5,0.25,12698.810914940948,7318.195986283423,7617.368136376095,299.1721500926724,297.4221500926724,0.0262422215066931,0.641923788835134,INTERVENE,0.475,8609.642336804027,1.5,0.25,8607.892336804027,RECOVERED,-0.2336658662442104,-3135.7350145339115,0.60-0.70,"(2879.41, 26703.03]",<0.10
T0007170,10058.29,PAYMENT_TIMEOUT,0,1,CONTROL,0.7270749160834712,0.1901293437699847,0.7270749160834712,0.755183114490199,0.0281081984067278,0.7270749160834712,1,1,8667.052773459223,0.0,0.0,8667.052773459223,6216.160804039235,6456.473153348781,240.31234930954636,238.56234930954636,0.0281081984067278,0.7270749160834712,INTERVENE,0.475,7313.130357693218,1.5,0.25,7311.380357693218,RECOVERED,-0.0804177705046562,-808.8652568892791,>0.70,"(2879.41, 26703.03]",0.10-0.20
T0019894,11801.87,BANK_DECLINE,0,1,CONTROL,0.6252122991668976,0.1319726762430135,0.6252122991668976,0.6542686391269917,0.0290563399600941,0.6252122991668976,1,1,11161.736143832974,0.0,0.0,11161.736143832974,6271.873135593509,6563.35441044562,291.4812748521108,289.7312748521108,0.0290563399600942,0.6252122991668976,INTERVENE,0.475,7378.674277168834,1.5,0.25,7376.924277168834,RECOVERED,-0.1654499470234622,-1952.6187662777888,0.60-0.70,"(2879.41, 26703.03]",0.10-0.20
T0014488,9490.22,NETWORK_ERROR,0,1,CONTROL,0.6927196381506652,0.0752383828954821,0.6927196381506652,0.7168601780456886,0.0241405398950234,0.6927196381506652,1,1,6907.236674328646,0.0,0.0,6907.236674328646,5587.952499714674,5782.686679058841,194.7341793441674,192.9841793441674,0.0241405398950234,0.6927196381506652,INTERVENE,0.475,6574.061764370205,1.5,0.25,6572.311764370205,RECOVERED,0.0893250471066171,847.7143485521601,0.60-0.70,"(2879.41, 26703.03]",<0.10
T0041621,8270.53,PAYMENT_TIMEOUT,1,0,RECLAIM,0.7381597561723476,0.2290715899895408,0.7381597561723476,0.7676323862558448,0.0294726300834972,0.7676323862558448,1,1,6768.142368567402,1.5,0.25,6766.392368567402,5189.226546983673,5396.4176775754695,207.1911305917965,205.4411305917965,0.0294726300834971,0.7381597561723476,INTERVENE,0.475,6104.972408216087,1.5,0.25,6103.222408216087,RECOVERED,-0.0644199801547731,-534.5373784694558,>0.70,"(2879.41, 26703.03]",0.20-0.30
T0038663,20646.44,BANK_DECLINE,1,0,RECLAIM,0.491254568944686,0.5081708225236727,0.491254568944686,0.5419283460451872,0.0506737771005012,0.5419283460451872,0,0,0.0,1.5,0.25,-1.75,8621.259285075974,9510.557418783015,889.2981337070414,887.5481337070414,0.0506737771005012,0.491254568944686,INTERVENE,0.475,10142.657982442322,1.5,0.25,10140.907982442322,NOT_RECOVERED,-0.1864862432610343,-3852.0270323143486,0.40-0.50,"(2879.41, 26703.03]",>0.30
