policy,interventions,intervention_rate,observed_recovered_payments,observed_recovered_value,intervention_cost,friction_cost,observed_net_value,observed_net_per_intervention,predicted_incremental_value,predicted_incremental_net_value
NO_INTERVENTION,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RETRY_ALL,581,1.0,387,712271.8164982267,435.0,72.5,711764.3164982267,1225.067670392817,-30033.42124783756,-30540.92124783756
TOP_5,30,0.05163511187607573,22,68957.2675164467,22.5,3.75,68931.0175164467,2297.700583881556,16822.283135592505,16796.033135592505
TOP_10,59,0.10154905335628227,44,114395.56727700552,43.5,7.25,114344.81727700552,1938.0477504577207,26809.66839777545,26758.91839777545
TOP_20,117,0.20137693631669534,90,158107.2645582161,81.0,13.5,158012.7645582161,1350.5364492155222,36539.105336417946,36444.605336417946
TOP_30,175,0.30120481927710846,125,191886.5910428057,118.5,19.75,191748.3410428057,1095.7048059588897,39636.29627844115,39498.04627844115
TOP_40,233,0.4010327022375215,163,226221.13600584658,160.5,26.75,226033.88600584658,970.1025150465518,41027.89803511281,40840.64803511281
TOP_50,291,0.5008605851979346,197,258077.43956662458,205.5,34.25,257837.68956662458,886.0401703320432,41536.928954803225,41297.178954803225
TOP_60,349,0.6006884681583476,238,304736.8008113801,252.0,42.0,304442.8008113801,872.3289421529515,41078.938734514115,40784.938734514115
TOP_70,407,0.7005163511187608,276,361634.40823654586,300.0,50.0,361284.40823654586,887.6766787138719,38519.300368465905,38169.300368465905
TOP_80,465,0.8003442340791739,311,423669.76651696605,339.0,56.5,423274.26651696605,910.2672398214323,32727.52618373889,32332.02618373889
TOP_90,523,0.9001721170395869,350,511356.81402089295,387.0,64.5,510905.31402089295,976.8744053936767,20374.040809612707,19922.540809612707
TOP_100,581,1.0,387,712271.8164982267,435.0,72.5,711764.3164982267,1225.067670392817,-30033.42124783756,-30540.92124783756
UPLIFT_0.00,302,0.5197934595524957,204,263779.0444809982,216.0,36.0,263527.0444809982,872.6061075529741,41552.62797403218,41300.62797403218
UPLIFT_0.01,253,0.4354561101549053,175,226585.0218276293,177.0,29.5,226378.5218276293,894.7767661171118,41173.24235261393,40966.74235261393
UPLIFT_0.02,216,0.3717728055077453,156,207317.62066395147,153.0,25.5,207139.12066395147,958.9774104812568,40471.140167812504,40292.640167812504
UPLIFT_0.03,185,0.31841652323580033,139,187945.71909781822,129.0,21.5,187795.21909781822,1015.109292420639,39437.95280142368,39287.45280142368
UPLIFT_0.05,147,0.25301204819277107,111,164761.47027265842,99.0,16.5,164645.97027265842,1120.0406140997172,37850.37565288422,37734.87565288422
UPLIFT_0.10,120,0.20654044750430292,92,135578.2338322926,82.5,13.75,135481.9838322926,1129.0165319357718,33894.71530902154,33798.46530902154
POSITIVE_ECONOMIC_UPLIFT,299,0.5146299483648882,202,262292.25680565287,211.5,35.25,262045.50680565287,876.406377276431,41550.48479170277,41303.73479170277
NON_NEGATIVE_ECONOMIC_UPLIFT,299,0.5146299483648882,202,262292.25680565287,211.5,35.25,262045.50680565287,876.406377276431,41550.48479170277,41303.73479170277
