seed,train_rows,test_rows,train_treatment,train_control,test_treatment,test_control,treatment_brier,control_brier,mean_predicted_treatment_probability,mean_predicted_control_probability,mean_predicted_uplift,positive_uplift_rate,positive_economic_uplift_rate,qini_score,targeting_interventions,targeting_intervention_rate,targeting_observed_net_value,targeting_predicted_incremental_net,retry_all_net_value,targeting_minus_retry_all,targeting_beats_retry_all
100,406,175,203,203,87,88,0.21019507335284704,0.22176540548457313,0.6674901816528753,0.631563935084678,0.03592624656819744,0.6685714285714286,0.6685714285714286,1480.036285395986,117,0.6685714285714286,113842.33686069316,16111.097497801175,244300.2227796656,-130457.88591897245,0
101,406,175,203,203,87,88,0.20976623339070194,0.2387161066552035,0.6920845269082452,0.6372181877427365,0.0548663391655086,0.7085714285714285,0.7085714285714285,1589.1077714781495,124,0.7085714285714285,189109.7880375502,41816.558460136046,236466.71473586292,-47356.926698312716,0
102,406,175,203,203,87,88,0.20795445217968678,0.23052352363890238,0.6830104015638169,0.6512639593823285,0.03174644218148839,0.6114285714285714,0.6114285714285714,1189.1750275435863,107,0.6114285714285714,95524.3285318647,17343.681570378692,189218.3717980004,-93694.04326613569,0
103,406,175,203,203,87,88,0.23107915708598792,0.26746049168436525,0.711699022746131,0.6729698294007856,0.03872919334534535,0.5771428571428572,0.5657142857142857,1472.861727248641,99,0.5657142857142857,71111.05438983085,18848.731815484527,192937.51038752776,-121826.4559976969,0
104,406,175,203,203,87,88,0.19664031575881222,0.23335294523883798,0.660932101540757,0.6527141011437437,0.008218000397013083,0.6514285714285715,0.6514285714285715,992.4899344123186,114,0.6514285714285715,146068.61362634334,20815.557766629623,207624.95248706604,-61556.338860722695,0
105,406,175,203,203,87,88,0.2418965238083458,0.21219100568319885,0.7068769249439679,0.6274096854694385,0.07946723947452952,0.7542857142857143,0.7485714285714286,-281.4707264764152,131,0.7485714285714286,121972.30508876682,25885.897558686844,239559.3010954326,-117586.99600666578,0
106,406,175,203,203,87,88,0.24105370196486334,0.227755060457406,0.6986429995635435,0.6466077070666633,0.05203529249688021,0.6685714285714286,0.6628571428571428,-89.1099795248983,116,0.6628571428571428,105628.89344671275,18513.20726239054,199374.96987752462,-93746.07643081187,0
107,406,175,203,203,87,88,0.20976718737456132,0.21977807206739045,0.7006100758644406,0.6339093091617747,0.06670076670266564,0.7428571428571429,0.7428571428571429,1058.5153247197773,130,0.7428571428571429,151871.38994040145,22871.874320631145,226443.03242946652,-74571.64248906507,0
108,406,175,203,203,87,88,0.22070128544705372,0.29089003526330903,0.6901442583532753,0.689141562369858,0.0010026959834172912,0.5028571428571429,0.49714285714285716,2933.0845106822167,87,0.49714285714285716,56241.686042371715,8934.61116867602,197211.75830356154,-140970.0722611898,0
109,406,175,203,203,87,88,0.2203524564781929,0.21713319502116765,0.6999523277970554,0.637459541419999,0.06249278637705621,0.7028571428571428,0.7028571428571428,1144.7381196614035,123,0.7028571428571428,124740.52760241258,20231.077962192707,201129.8435354628,-76389.31593305022,0
