control_value,treatment_value,incremental_value,targeting_policy,retry_all_policy,no_intervention_policy,targeting_selected_value
316679.49738564814,316720.0665183773,40.56913272914244,0,1,0,316679.49738564814
11092492.727641108,11092741.024887908,248.2972468007356,0,1,0,11092492.727641108
26730890.61411587,26731217.25767363,326.6435577571392,0,1,0,26730890.61411587
857953.4482020778,857974.8657865929,21.417584515176713,1,1,0,857974.8657865929
3396659.1216773177,3396773.0884484076,113.96677108993754,0,1,0,3396659.1216773177
2745785.3203164386,2745936.2215002314,150.9011837928556,0,1,0,2745785.3203164386
10615232.162147047,10615461.766372027,229.60422497987747,0,1,0,10615232.162147047
2900698.744359983,2900864.8425877476,166.09822776447982,1,1,0,2900864.8425877476
557160.69466777,557214.5523623407,53.857694570790045,1,1,0,557214.5523623407
2474176.223907786,2474282.3943293886,106.1704216026701,1,1,0,2474282.3943293886
655395.6450555575,655387.439102255,-8.205953302443959,0,1,0,655395.6450555575
307201.8211322222,307234.7618452246,32.940713002404664,1,1,0,307234.7618452246
689843.9208080533,689904.9309095291,61.01010147575289,1,1,0,689904.9309095291
128826.74302523359,128838.3578707119,11.614845478310599,1,1,0,128838.3578707119
953850.1498512649,953851.1828406849,1.0329894199967384,0,1,0,953850.1498512649
11092492.727641108,11092767.971956216,275.24431510828435,0,1,0,11092492.727641108
219236.16556815492,219252.991313358,16.82574520309572,0,1,0,219236.16556815492
722691.8754386344,722694.1689003553,2.2934617209248245,0,1,0,722691.8754386344
15745495.695766272,15745847.802489521,352.1067232489586,0,1,0,15745495.695766272
5994690.381306537,5994929.296270258,238.91496372036636,0,1,0,5994690.381306537
9261409.531546298,9261524.191087525,114.65954122692347,0,1,0,9261409.531546298
41415.660086455835,41428.270717262465,12.61063080663007,1,1,0,41428.270717262465
764282.5472246957,764312.9345945974,30.387369901756756,0,1,0,764282.5472246957
142964.98354033005,142965.06053419044,0.07699386039166711,1,1,0,142965.06053419044
4916904.179045604,4917104.551844177,200.37279857322574,1,1,0,4917104.551844177
1023654.9991617198,1023746.3108013995,91.31163967971224,1,1,0,1023746.3108013995
1323834.5555094294,1323917.066563024,82.51105359452777,0,1,0,1323834.5555094294
591274.0227204594,591274.0645745604,0.041854101000353694,1,1,0,591274.0645745604
9053401.817717794,9053614.455673074,212.63795528002083,0,1,0,9053401.817717794
1943651.7492579352,1943719.4827537623,67.73349582706578,1,1,0,1943719.4827537623
612765.4293915267,612806.3579246297,40.928533102967776,0,1,0,612765.4293915267
352557.6165754301,352593.6786098049,36.06203437480144,1,1,0,352593.6786098049
674378.2538219108,674424.8856324273,46.63181051646825,0,1,0,674378.2538219108
1598176.0004475587,1598295.962202434,119.96175487525761,0,1,0,1598176.0004475587
3303913.5029092655,3303901.0558705074,-12.447038758080453,0,1,0,3303913.5029092655
2538430.5795847196,2538539.5545284934,108.974943773821,0,1,0,2538430.5795847196
8752169.209834285,8752290.570447575,121.3606132902205,0,1,0,8752169.209834285
6688005.365227348,6688090.988303102,85.6230757534504,1,1,0,6688090.988303102
8484448.072901974,8484684.918561118,236.84565914422274,1,1,0,8484684.918561118
5871384.695678936,5871403.482462475,18.786783538758755,0,1,0,5871384.695678936
275300.34936256433,275333.7132872315,33.36392466718098,0,1,0,275300.34936256433
2053930.2186851925,2053910.2538700893,-19.964815103216097,0,1,0,2053930.2186851925
11265012.111761114,11265343.128992641,331.0172315277159,1,1,0,11265343.128992641
1984059.5019844382,1984143.6283074555,84.12632301729172,1,1,0,1984143.6283074555
4055070.806936847,4055198.6107642804,127.80382743338123,1,1,0,4055198.6107642804
788281.9966175453,788349.0597188047,67.06310125940945,0,1,0,788281.9966175453
655395.6450555575,655382.214495858,-13.430559699540026,0,1,0,655395.6450555575
62389292.437461406,62390114.036439456,821.5989780500531,1,1,0,62390114.036439456
1351533.5000633334,1351620.052528463,86.55246512964368,0,1,0,1351533.5000633334
1598176.0004475587,1598305.9563272605,129.95587970176712,0,1,0,1598176.0004475587
25615.498348363304,25629.715660385467,14.217312022163242,1,1,0,25629.715660385467
3396659.1216773177,3396790.5210607117,131.39938339404762,1,1,0,3396790.5210607117
6881966.102418847,6882153.8091255175,187.7067066701129,0,1,0,6881966.102418847
5085619.732653755,5085785.447718339,165.71506458427757,0,1,0,5085619.732653755
2249516.706366879,2249603.3171849516,86.61081807268783,0,1,0,2249516.706366879
1840959.8609375819,1840998.2149485059,38.35401092399843,0,1,0,1840959.8609375819
5406473.40790688,5406691.954109694,218.54620281420648,1,1,0,5406691.954109694
3468995.0762537047,3469077.6086808625,82.53242715774104,1,1,0,3469077.6086808625
788281.9966175453,788361.6418241675,79.64520662219729,0,1,0,788281.9966175453
2911166.6700741975,2911278.243139779,111.5730655817315,1,1,0,2911278.243139779
51766.28039870045,51779.16292450555,12.882525805100158,0,1,0,51766.28039870045
5925319.265898995,5925442.0904347915,122.82453579641879,1,1,0,5925442.0904347915
106347.35517988839,106374.59280708726,27.237627198875998,1,1,0,106374.59280708726
152699.9780724618,152729.45081286595,29.472740404162323,1,1,0,152729.45081286595
194734.60515268476,194726.46591052017,-8.139242164586904,1,1,0,194726.46591052017
244271.18646336923,244305.84465002432,34.65818665508414,1,1,0,244305.84465002432
1275862.984669952,1275949.3065729872,86.3219030352775,0,1,0,1275862.984669952
1563796.9995148082,1563913.5451395896,116.54562478139997,0,1,0,1563796.9995148082
4996969.950179521,4997151.407014774,181.45683525316417,0,1,0,4996969.950179521
3279649.9915555706,3279789.8584347554,139.86687918473035,1,1,0,3279789.8584347554
1399779.3856301678,1399881.7922530037,102.40662283590063,1,1,0,1399881.7922530037
74293.52958226226,74311.22260545543,17.693023193176487,0,1,0,74293.52958226226
406030.7043884612,406092.2232505126,61.51886205142364,1,1,0,406092.2232505126
827922.5463209351,827953.8428774542,31.29655651911162,1,1,0,827953.8428774542
1840959.8609375819,1841007.1506248568,47.28968727495521,1,1,0,1841007.1506248568
1688815.3479957532,1688911.186868585,95.83887283178046,1,1,0,1688911.186868585
