policy,interventions,intervention_rate,observed_recovered_payments,observed_recovered_value,observed_net_value,observed_net_per_intervention,predicted_incremental_net_value
NO_INTERVENTION,0,0.0,0,0.0,0.0,0.0,0.0
RETRY_ALL,3000,1.0,2119,4570028.82,4567020.82,1522.3402733333335,-61059.19861409839
TOP_5,150,0.05,105,158330.88999999998,158180.88999999998,1054.5392666666667,49116.35325279136
TOP_10,300,0.1,208,313330.24,313040.24,1043.4674666666667,79377.80275706942
TOP_20,600,0.2,413,727247.6599999999,726649.6599999999,1211.0827666666664,140377.70139276364
TOP_30,900,0.3,624,1109385.9300000002,1108499.9300000002,1231.666588888889,175739.94851237556
TOP_40,1200,0.4,827,1559985.6600000001,1558781.6600000001,1298.9847166666668,199038.22448993794
TOP_50,1500,0.5,1044,2106772.31,2105280.31,1403.5202066666668,209338.3456949443
TOP_60,1800,0.6,1271,2601995.67,2600199.67,1444.555372222222,203559.1790641739
TOP_70,2100,0.7,1482,3046763.09,3044651.09,1449.8338523809523,182414.39006295748
TOP_80,2400,0.8,1691,3433922.43,3431510.43,1429.7960125,151685.42736370795
TOP_90,2700,0.9,1896,4035239.8200000003,4032523.8200000003,1493.5273407407408,61053.788239213114
TOP_100,3000,1.0,2119,4570028.82,4567020.82,1522.3402733333335,-61059.19861409839
UPLIFT_0.00,1549,0.5163333333333333,1082,2212378.34,2210830.34,1427.2629696578438,209516.26714638298
UPLIFT_0.01,1378,0.4593333333333333,959,1914562.08,1913190.08,1388.381770682148,207348.13170255715
UPLIFT_0.02,1248,0.416,860,1650983.25,1649739.25,1321.906450320513,201892.6172298359
UPLIFT_0.03,1138,0.37933333333333336,785,1440463.71,1439315.71,1264.7765465729349,194351.21696052473
UPLIFT_0.05,894,0.298,619,1099350.6300000001,1098472.6300000001,1228.7165883668906,175149.7145128915
UPLIFT_0.10,478,0.15933333333333333,329,548710.4500000001,548222.4500000001,1146.9088912133893,116990.77183802184
