seed,train_rows,test_rows,train_treatment_rows,train_control_rows,test_treatment_rows,test_control_rows,qini,mean_predicted_uplift,std_predicted_uplift,positive_uplift_rate,treatment_brier,control_brier,treatment_auc,control_auc,calibration_mae,best_policy,best_policy_interventions,best_policy_rate,predicted_targeting_value,observed_targeting_net,retry_all_observed_net,retry_all_predicted_incremental,no_intervention_observed_net,targeting_vs_retry_all_observed,targeting_vs_no_intervention_observed
100,7000,3000,3509,3491,1504,1496,220442.23299664183,0.055636884625184554,0.083395806484096,0.748,0.19377336570786055,0.21336304209682544,0.5537710133829268,0.5646904578512362,0.06745157669960301,UPLIFT_0.00,2244,0.748,395457.17405637493,3130012.0300000003,4701318.609999999,269629.5932851723,0.0,-1571306.5799999991,3130012.0300000003
101,7000,3000,3509,3491,1504,1496,191257.27521058323,0.06574494561710462,0.0808659695513203,0.807,0.1974964474491645,0.21405782580342939,0.5422628831366733,0.5403800299322719,0.07504355035105163,UPLIFT_0.00,2421,0.807,445519.28789887996,3611628.0599999996,4628253.449999999,371512.0334818426,0.0,-1016625.3899999997,3611628.0599999996
102,7000,3000,3509,3491,1504,1496,313083.3632473466,0.05626773328937755,0.07529351750892536,0.743,0.19314543711566212,0.21427934150918973,0.5563862907048827,0.5648395569966872,0.044473430431149874,UPLIFT_0.00,2229,0.743,373661.75414388475,3295600.65,4583876.4399999995,294730.6757235322,0.0,-1288275.7899999996,3295600.65
103,7000,3000,3509,3491,1504,1496,348494.52959288657,0.044090409765977306,0.07711504841280309,0.7346666666666667,0.18513650682982308,0.21437785732571119,0.5585721673662308,0.5731360191135277,0.07802794130391617,UPLIFT_0.00,2204,0.7346666666666667,351304.7980655672,3226272.29,4717385.91,243653.39126951617,0.0,-1491113.62,3226272.29
104,7000,3000,3509,3491,1504,1496,200816.83582376293,0.06601392707045597,0.07470092943037467,0.8146666666666667,0.1949964192385468,0.20879161679263752,0.5617563073277821,0.5683497904171211,0.05732006367341147,UPLIFT_0.00,2444,0.8146666666666667,445729.39293491514,3561599.38,4728121.220000001,364648.43168045545,0.0,-1166521.8400000008,3561599.38
105,7000,3000,3509,3491,1504,1496,233507.21603256135,0.055554063905625166,0.08216559323718903,0.7766666666666666,0.1987013203732348,0.22263352839285583,0.538834397810219,0.5450217704485276,0.08297936132242169,UPLIFT_0.00,2330,0.7766666666666666,409420.1209295802,3236370.48,4579037.0600000005,300408.16543105646,0.0,-1342666.5800000005,3236370.48
106,7000,3000,3509,3491,1504,1496,276395.68936314655,0.056412197231709,0.07646112978798292,0.7746666666666666,0.19625586277896545,0.2188013779231151,0.5517259225922593,0.5594935654914576,0.058705495986016785,UPLIFT_0.00,2324,0.7746666666666666,404075.38358536165,3420280.19,4641871.68,323281.93338708184,0.0,-1221591.4899999998,3420280.19
107,7000,3000,3509,3491,1504,1496,214287.46376135567,0.06150180859973161,0.07750512634058129,0.801,0.19946838567927244,0.21762303165888183,0.5506641416835591,0.5499750032403207,0.06794464164380162,UPLIFT_0.00,2403,0.801,424172.82335395116,3708096.9000000004,4849372.34,335238.09736150305,0.0,-1141275.4399999995,3708096.9000000004
108,7000,3000,3509,3491,1504,1496,173666.68861363042,0.05826250190246983,0.07579660223336586,0.784,0.19888798895476928,0.21467527753970506,0.5699932391826923,0.5572644249867584,0.07133158904939979,UPLIFT_0.00,2352,0.784,383292.00379970466,3323662.71,4667037.55,294377.7096540481,0.0,-1343374.8399999999,3323662.71
109,7000,3000,3509,3491,1504,1496,294680.517988686,0.04405855558454571,0.08034331109747274,0.6986666666666667,0.19712277226644795,0.22491925048306297,0.5474010768464491,0.5521140990218496,0.08639464668988123,UPLIFT_0.00,2096,0.6986666666666667,373105.91076656454,3143686.7899999996,4541923.99,268818.9508063241,0.0,-1398237.2000000007,3143686.7899999996
110,7000,3000,3509,3491,1504,1496,152982.08136772204,0.06529244172446187,0.0754524439230947,0.8083333333333333,0.1980394856651616,0.2134948790090515,0.5598263254113345,0.5395492825555734,0.08029291220116255,UPLIFT_0.00,2425,0.8083333333333333,437013.7399498162,3589261.06,4711092.64,358111.7918273938,0.0,-1121831.5799999996,3589261.06
111,7000,3000,3509,3491,1504,1496,129656.92652588573,0.05302805691197371,0.08475254127834561,0.7156666666666667,0.1894115148542342,0.2153926551912907,0.5577829418297543,0.5330617935525449,0.1058292785137803,UPLIFT_0.00,2147,0.7156666666666667,388051.73499119596,3103707.0,4804777.43,270242.1317507473,0.0,-1701070.4299999997,3103707.0
112,7000,3000,3509,3491,1504,1496,227715.74256715167,0.05272329331166956,0.07889253961966732,0.7516666666666667,0.1961500472981164,0.21518600176147012,0.5348817598366336,0.5683238802569266,0.078533998712631,UPLIFT_0.00,2255,0.7516666666666667,398968.8845155396,3433856.3899999997,4744104.53,305096.95624302066,0.0,-1310248.1400000006,3433856.3899999997
