seed,training_rows,test_rows,qini,mean_economic_uplift,positive_economic_uplift_rate,selected_threshold,intervention_rate,targeting_value,retry_all_value,no_intervention_value,targeting_vs_retry_all,targeting_vs_no_intervention
100,6999,3001,154988.29612203548,73.92683910461609,0.7077640786404532,-0.05,0.842052649116961,3485157.28,4701318.61,0.0,-1216161.3300000005,3485157.28
101,6999,3001,47401.61251445045,125.00288039926082,0.7587470843052316,-0.05,0.8723758747084305,3955001.4800000004,4629349.11,0.0,-674347.6299999999,3955001.4800000004
102,6999,3001,227365.70521676075,90.71699131983684,0.704098633788737,-0.05,0.8543818727090969,3746616.9800000004,4585578.34,0.0,-838961.3599999994,3746616.9800000004
103,6999,3001,234090.81577000488,72.95290369252314,0.6527824058647118,-0.05,0.8007330889703432,3524892.03,4720317.23,0.0,-1195425.2000000007,3524892.03
104,6999,3001,8048.468811881263,101.05787335737628,0.7380873042319227,-0.05,0.8607130956347884,3825683.6999999997,4730128.279999999,0.0,-904444.5799999996,3825683.6999999997
105,6999,3001,173816.76061456138,100.9613452774338,0.7187604131956015,-0.05,0.8530489836721094,3745045.7700000005,4581193.85,0.0,-836148.0799999991,3745045.7700000005
106,6999,3001,222552.09158953791,103.19879057113289,0.7484171942685771,-0.05,0.8423858713762079,3737328.51,4643023.12,0.0,-905694.6100000003,3737328.51
107,6999,3001,195031.14246822568,99.12722827771435,0.7350883038987004,-0.05,0.8733755414861712,4053767.83,4849372.34,0.0,-795604.5099999998,4053767.83
108,6999,3001,142586.82136985986,86.36172184782482,0.7200933022325892,-0.05,0.866377874041986,3808425.5599999996,4670397.3,0.0,-861971.7400000002,3808425.5599999996
109,6999,3001,229249.44372062315,89.1098132995196,0.6647784071976008,-0.05,0.8247250916361213,3697357.12,4543019.649999999,0.0,-845662.5299999993,3697357.12
