policy,intervention_rate,policy_value_per_transaction,advantage_vs_retry_per_transaction,seed,selected_policy
NO_INTERVENTION,0.0,1449.00718,-177.53077333333317,200,TOP_100
RETRY_ALL,1.0,1626.5379533333332,0.0,200,TOP_100
TOP_5,0.05,1398.5830933333334,-227.95485999999983,200,TOP_100
TOP_10,0.1,1438.6884533333332,-187.84950000000003,200,TOP_100
TOP_15,0.15,1456.06132,-170.4766333333332,200,TOP_100
TOP_20,0.2,1488.5063266666668,-138.0316266666664,200,TOP_100
TOP_25,0.25,1489.1686666666667,-137.36928666666654,200,TOP_100
TOP_30,0.3,1525.2333399999998,-101.30461333333346,200,TOP_100
TOP_40,0.4,1589.3706066666668,-37.16734666666639,200,TOP_100
TOP_50,0.5,1600.28122,-26.25673333333316,200,TOP_100
TOP_60,0.6,1622.6945,-3.843453333333173,200,TOP_100
TOP_70,0.7,1624.8916733333335,-1.646279999999706,200,TOP_100
TOP_80,0.8,1636.4804866666664,9.942533333333131,200,TOP_100
TOP_90,0.9,1659.0014733333333,32.46352000000002,200,TOP_100
TOP_100,1.0,1626.5379533333332,0.0,200,TOP_100
ECONOMIC_GE_0,0.591,1618.7278266666667,-7.81012666666652,200,TOP_100
ECONOMIC_GE_25,0.529,1607.7737466666667,-18.764206666666496,200,TOP_100
ECONOMIC_GE_50,0.474,1594.4095333333332,-32.128420000000006,200,TOP_100
ECONOMIC_GE_100,0.35533333333333333,1581.9557933333335,-44.5821599999997,200,TOP_100
ECONOMIC_GE_150,0.31,1526.6247866666665,-99.91316666666671,200,TOP_100
ECONOMIC_GE_250,0.19466666666666665,1480.67686,-145.8610933333332,200,TOP_100
ECONOMIC_GE_500,0.07766666666666666,1439.4267666666667,-187.11118666666653,200,TOP_100
NO_INTERVENTION,0.0,1497.3408333333334,-198.30286,201,TOP_90
RETRY_ALL,1.0,1695.6436933333334,0.0,201,TOP_90
TOP_5,0.05,1534.9018133333334,-160.74188000000004,201,TOP_90
TOP_10,0.1,1525.5030733333333,-170.14062000000013,201,TOP_90
TOP_15,0.15,1504.2616,-191.3820933333334,201,TOP_90
TOP_20,0.2,1529.7173533333332,-165.9263400000002,201,TOP_90
TOP_25,0.25,1514.8825666666664,-180.761126666667,201,TOP_90
TOP_30,0.3,1507.4656333333332,-188.1780600000002,201,TOP_90
TOP_40,0.4,1530.3769600000003,-165.26673333333315,201,TOP_90
TOP_50,0.5,1537.5473800000002,-158.09631333333323,201,TOP_90
TOP_60,0.6,1539.3414866666667,-156.30220666666673,201,TOP_90
TOP_70,0.7,1552.5628200000003,-143.0808733333331,201,TOP_90
TOP_80,0.8,1570.9111466666668,-124.73254666666662,201,TOP_90
TOP_90,0.9,1555.3623799999998,-140.28131333333363,201,TOP_90
TOP_100,1.0,1695.6436933333334,0.0,201,TOP_90
ECONOMIC_GE_0,0.6346666666666667,1541.3098133333335,-154.3338799999999,201,TOP_90
ECONOMIC_GE_25,0.585,1541.8063266666666,-153.83736666666687,201,TOP_90
