policy,threshold,intervention_rate,value_per_transaction,advantage_vs_retry_all,advantage_vs_no_intervention
UPLIFT_THRESHOLD,-0.02,0.76,1312.9471098254887,-26.3069449858981,90.11917382548859
UPLIFT_THRESHOLD,-0.01,0.6739,1303.843298961916,-35.41075584947089,81.0153629619158
UPLIFT_THRESHOLD,0.0,0.5832,1293.6363506446135,-45.617704166773365,70.80841464461332
UPLIFT_THRESHOLD,0.005,0.5335,1287.3906029287834,-51.863451882603385,64.5626669287833
UPLIFT_THRESHOLD,0.01,0.4837,1280.962679909392,-58.291374901994914,58.13474390939177
UPLIFT_THRESHOLD,0.02,0.3842,1269.8132692780412,-69.44078553334566,46.985333278041026
UPLIFT_THRESHOLD,0.03,0.2863,1259.846332433094,-79.40772237829287,37.01839643309381
UPLIFT_THRESHOLD,0.04,0.2085,1250.6478625434704,-88.60619226791641,27.819926543470274
UPLIFT_THRESHOLD,0.05,0.1459,1241.7311260746858,-97.52292873670103,18.903190074685654
ECONOMIC_THRESHOLD,-100.0,0.9622,1329.339531636082,-9.914523175304794,106.51159563608189
ECONOMIC_THRESHOLD,-50.0,0.9041,1319.1674072341793,-20.086647577207486,96.3394712341792
ECONOMIC_THRESHOLD,0.0,0.5826,1293.6421413642413,-45.611913447145525,70.81420536424116
ECONOMIC_THRESHOLD,25.0,0.2562,1271.7361986972355,-67.5178561141513,48.908262697235386
ECONOMIC_THRESHOLD,50.0,0.1401,1258.1136090571142,-81.1404457542726,35.28567305711408
ECONOMIC_THRESHOLD,100.0,0.0523,1243.9567379350192,-95.29731687636763,21.128801935019055
RETRY_ALL,,1.0,1339.2540548113868,0.0,116.42611881138669
NO_INTERVENTION,,0.0,1222.8279360000001,-116.42611881138669,0.0
ORACLE,0.0,0.9334,1340.344603973251,1.0905491618641463,117.51666797325083
