transaction_id,customer_id,amount,recovery_probability,expected_recovery,expected_net_recovery_if_action,recovery_flag,recovered_amount,recommended_action,intervention_flag,policy_name,policy_rank,actual_recovery_flag,actual_recovered_amount,actual_net_recovery
T0022306,C00491,26703.03,0.3432546856613142,9165.940168854642,9164.190168854642,1,26703.03,INTERVENE,1,RETRY_ALL,1,1,26703.03,26701.28
T0026878,C00590,12853.93,0.6599279938780305,8482.668238348633,8480.918238348633,1,12853.93,INTERVENE,1,RETRY_ALL,2,1,12853.93,12852.18
T0000835,C00018,9567.33,0.6924871494467064,6625.253079515957,6623.503079515957,1,9567.33,INTERVENE,1,RETRY_ALL,3,1,9567.33,9565.58
T0038230,C00832,11837.46,0.5336415544564067,6316.960555215535,6315.210555215535,1,11837.46,INTERVENE,1,RETRY_ALL,4,1,11837.46,11835.71
T0032751,C00713,13412.25,0.4587827320453022,6153.308697874604,6151.558697874604,1,13412.25,INTERVENE,1,RETRY_ALL,5,1,13412.25,13410.5
T0007170,C00157,10058.29,0.5950646718849923,5985.3330385741,5983.5830385741,0,0.0,INTERVENE,1,RETRY_ALL,6,0,0.0,-1.75
T0019894,C00437,11801.87,0.4340136618784932,5122.172815713933,5120.422815713933,1,11801.87,INTERVENE,1,RETRY_ALL,7,1,11801.87,11800.12
T0014488,C00319,9490.22,0.5376191914477411,5102.124403061181,5100.374403061181,0,0.0,INTERVENE,1,RETRY_ALL,8,0,0.0,-1.75
T0041621,C00908,8270.53,0.6145357949947704,5082.5367285780985,5080.7867285780985,1,8270.53,INTERVENE,1,RETRY_ALL,9,1,8270.53,8268.78
T0038663,C00842,20646.44,0.2459145887381636,5077.26080150717,5075.51080150717,0,0.0,INTERVENE,1,RETRY_ALL,10,0,0.0,-1.75
T0012356,C00271,10751.67,0.441407603043249,4745.868883412009,4744.118883412009,1,10751.67,INTERVENE,1,RETRY_ALL,11,1,10751.67,10749.92
T0039243,C00855,10270.54,0.4543891280420528,4666.821715121026,4665.071715121026,1,10270.54,INTERVENE,1,RETRY_ALL,12,1,10270.54,10268.79
T0031286,C00680,9521.22,0.4391937571875489,4181.660384809234,4179.910384809234,0,0.0,INTERVENE,1,RETRY_ALL,13,0,0.0,-1.75
T0011868,C00261,10458.95,0.3948181470127104,4129.383258698587,4127.633258698587,1,10458.95,INTERVENE,1,RETRY_ALL,14,1,10458.95,10457.2
T0034332,C00746,5766.06,0.6790613679560724,3915.5085913167914,3913.7585913167914,1,5766.06,INTERVENE,1,RETRY_ALL,15,1,5766.06,5764.31
T0014941,C00329,5939.97,0.6500377360373243,3861.204650929625,3859.454650929625,1,5939.97,INTERVENE,1,RETRY_ALL,16,1,5939.97,5938.22
T0014445,C00318,9629.4,0.394818372962938,3801.864040609315,3800.114040609315,0,0.0,INTERVENE,1,RETRY_ALL,17,0,0.0,-1.75
T0033473,C00727,6449.65,0.553570316070259,3570.3347890425457,3568.5847890425457,1,6449.65,INTERVENE,1,RETRY_ALL,18,1,6449.65,6447.9
T0034060,C00739,10016.59,0.3441637606847962,3447.3472836377227,3445.5972836377227,1,10016.59,INTERVENE,1,RETRY_ALL,19,1,10016.59,10014.84
T0018044,C00397,5641.17,0.5745428075978803,3241.0936499369345,3239.3436499369345,1,5641.17,INTERVENE,1,RETRY_ALL,20,1,5641.17,5639.42
T0022168,C00488,6466.34,0.5011056884215934,3240.3197572680865,3238.5697572680865,1,6466.34,INTERVENE,1,RETRY_ALL,21,1,6466.34,6464.59
T0038652,C00842,8636.8,0.3746778133938617,3236.0173387201044,3234.2673387201044,0,0.0,INTERVENE,1,RETRY_ALL,22,0,0.0,-1.75
T0034611,C00752,5469.4,0.5907946489374517,3231.292252898498,3229.542252898498,1,5469.4,INTERVENE,1,RETRY_ALL,23,1,5469.4,5467.65
T0017466,C00384,5768.13,0.5437852483931201,3136.6240048138084,3134.8740048138084,0,0.0,INTERVENE,1,RETRY_ALL,24,0,0.0,-1.75
T0007949,C00173,4973.81,0.6230417119144172,3098.8910971370474,3097.1410971370474,1,4973.81,INTERVENE,1,RETRY_ALL,25,1,4973.81,4972.06
T0023546,C00517,9465.34,0.3234810233299963,3061.857869366347,3060.107869366347,1,9465.34,INTERVENE,1,RETRY_ALL,26,1,9465.34,9463.59
T0026292,C00577,4568.22,0.6697928981701375,3059.761313278786,3058.011313278786,1,4568.22,INTERVENE,1,RETRY_ALL,27,1,4568.22,4566.47
T0019706,C00433,4802.65,0.6326804838190164,3038.542925613399,3036.792925613399,1,4802.65,INTERVENE,1,RETRY_ALL,28,1,4802.65,4800.9
T0011826,C00260,4436.97,0.6744202868158924,2992.3825799935103,2990.6325799935103,1,4436.97,INTERVENE,1,RETRY_ALL,29,1,4436.97,4435.22
T0005295,C00117,4928.56,0.5917355317625158,2916.404072423465,2914.654072423465,1,4928.56,INTERVENE,1,RETRY_ALL,30,1,4928.56,4926.81
T0005715,C00126,6531.21,0.4450454033126302,2906.6849885694837,2904.9349885694837,0,0.0,INTERVENE,1,RETRY_ALL,31,0,0.0,-1.75
T0045321,C00988,5159.02,0.5619537717799119,2899.1307476880015,2897.3807476880015,1,5159.02,INTERVENE,1,RETRY_ALL,32,1,5159.02,5157.27
T0007824,C00170,6529.86,0.4375447572982346,2857.10600889145,2855.35600889145,0,0.0,INTERVENE,1,RETRY_ALL,33,0,0.0,-1.75
T0032003,C00695,4222.16,0.676245375669082,2855.2161753349715,2853.4661753349715,1,4222.16,INTERVENE,1,RETRY_ALL,34,1,4222.16,4220.41
T0012051,C00265,4494.92,0.618869446770873,2781.768653679332,2780.018653679332,0,0.0,INTERVENE,1,RETRY_ALL,35,0,0.0,-1.75
T0042526,C00929,6160.93,0.4463599982429644,2749.992703975027,2748.242703975027,1,6160.93,INTERVENE,1,RETRY_ALL,36,1,6160.93,6159.18
T0037912,C00825,5740.47,0.4639761526551749,2663.441185032452,2661.691185032452,1,5740.47,INTERVENE,1,RETRY_ALL,37,1,5740.47,5738.72
T0034042,C00739,4600.71,0.5724095882435771,2633.4905167281077,2631.7405167281077,1,4600.71,INTERVENE,1,RETRY_ALL,38,1,4600.71,4598.96
T0009420,C00205,6727.76,0.3913165740184673,2632.6839940184836,2630.9339940184836,1,6727.76,INTERVENE,1,RETRY_ALL,39,1,6727.76,6726.01
T0029592,C00643,4308.03,0.5923061207237348,2551.672537261471,2549.922537261471,0,0.0,INTERVENE,1,RETRY_ALL,40,0,0.0,-1.75
T0016065,C00352,3864.42,0.6580829251813127,2543.1088177291685,2541.3588177291685,0,0.0,INTERVENE,1,RETRY_ALL,41,0,0.0,-1.75
T0008556,C00186,4692.25,0.5367904543475717,2518.755009412393,2517.005009412393,0,0.0,INTERVENE,1,RETRY_ALL,42,0,0.0,-1.75
T0001623,C00037,4475.23,0.5531976800175946,2475.68685354514,2473.93685354514,1,4475.23,INTERVENE,1,RETRY_ALL,43,1,4475.23,4473.48
T0005039,C00112,5727.91,0.4275079915372807,2448.7272998063054,2446.9772998063054,1,5727.91,INTERVENE,1,RETRY_ALL,44,1,5727.91,5726.16
T0022423,C00493,4379.85,0.5502224067786585,2409.8916083295076,2408.1416083295076,1,4379.85,INTERVENE,1,RETRY_ALL,45,1,4379.85,4378.1
T0034352,C00746,3856.22,0.6201155223497128,2391.3018795954094,2389.5518795954094,1,3856.22,INTERVENE,1,RETRY_ALL,46,1,3856.22,3854.47
T0033814,C00734,3776.6,0.6254866286270899,2362.2128016730676,2360.4628016730676,1,3776.6,INTERVENE,1,RETRY_ALL,47,1,3776.6,3774.85
T0004825,C00107,4300.34,0.5475719373676434,2354.745505139572,2352.995505139572,1,4300.34,INTERVENE,1,RETRY_ALL,48,1,4300.34,4298.59
T0017254,C00378,3815.13,0.6069349046238178,2315.5355626774663,2313.7855626774663,1,3815.13,INTERVENE,1,RETRY_ALL,49,1,3815.13,3813.38
T0008276,C00179,3695.33,0.6251163262826447,2310.0111140020454,2308.2611140020454,0,0.0,INTERVENE,1,RETRY_ALL,50,0,0.0,-1.75
T0010198,C00222,4987.96,0.4628317654539224,2308.586332813547,2306.836332813547,1,4987.96,INTERVENE,1,RETRY_ALL,51,1,4987.96,4986.21
T0002140,C00049,5450.57,0.4186292406996428,2281.767980480252,2280.017980480252,0,0.0,INTERVENE,1,RETRY_ALL,52,0,0.0,-1.75
T0020222,C00445,4322.65,0.5268304985171657,2277.303854415226,2275.553854415226,1,4322.65,INTERVENE,1,RETRY_ALL,53,1,4322.65,4320.9
T0021895,C00482,3974.88,0.5710221741335135,2269.7446195198204,2267.9946195198204,0,0.0,INTERVENE,1,RETRY_ALL,54,0,0.0,-1.75
T0020862,C00459,5537.97,0.4086783522356417,2263.2484543304167,2261.4984543304167,1,5537.97,INTERVENE,1,RETRY_ALL,55,1,5537.97,5536.22
T0041250,C00899,3761.39,0.6003157745549079,2258.021751253085,2256.271751253085,1,3761.39,INTERVENE,1,RETRY_ALL,56,1,3761.39,3759.64
T0006659,C00145,5457.57,0.4102589046152505,2239.0166900610525,2237.2666900610525,1,5457.57,INTERVENE,1,RETRY_ALL,57,1,5457.57,5455.82
T0015518,C00343,4975.57,0.4499772724616433,2238.8934175419786,2237.1434175419786,1,4975.57,INTERVENE,1,RETRY_ALL,58,1,4975.57,4973.82
T0016179,C00354,4098.16,0.5461264626477914,2238.1136241646727,2236.3636241646727,1,4098.16,INTERVENE,1,RETRY_ALL,59,1,4098.16,4096.41
T0036036,C00783,4342.18,0.513871235865622,2231.321402950987,2229.571402950987,0,0.0,INTERVENE,1,RETRY_ALL,60,0,0.0,-1.75
T0017271,C00378,5035.89,0.4421488317775444,2226.612880460218,2224.862880460218,1,5035.89,INTERVENE,1,RETRY_ALL,61,1,5035.89,5034.14
T0022056,C00485,3873.91,0.5725640259734103,2218.0615058586536,2216.3115058586536,1,3873.91,INTERVENE,1,RETRY_ALL,62,1,3873.91,3872.16
T0020800,C00458,3505.26,0.627323636652685,2198.9324506131907,2197.1824506131907,0,0.0,INTERVENE,1,RETRY_ALL,63,0,0.0,-1.75
T0041351,C00901,3396.35,0.6461800034616649,2194.6534547570254,2192.9034547570254,1,3396.35,INTERVENE,1,RETRY_ALL,64,1,3396.35,3394.6
T0001218,C00027,3722.97,0.5733799489369964,2134.6763484939693,2132.9263484939693,1,3722.97,INTERVENE,1,RETRY_ALL,65,1,3722.97,3721.22
T0036675,C00797,3451.27,0.6149104696225893,2122.2220564943536,2120.4720564943536,1,3451.27,INTERVENE,1,RETRY_ALL,66,1,3451.27,3449.52
T0002965,C00070,4775.68,0.4429669382683889,2115.4683477495796,2113.7183477495796,1,4775.68,INTERVENE,1,RETRY_ALL,67,1,4775.68,4773.93
T0029724,C00646,5312.11,0.3982075702976819,2115.3224162540187,2113.5724162540187,1,5312.11,INTERVENE,1,RETRY_ALL,68,1,5312.11,5310.36
T0010979,C00238,3526.31,0.5967851770051511,2104.4495375250344,2102.6995375250344,1,3526.31,INTERVENE,1,RETRY_ALL,69,1,3526.31,3524.56
T0041150,C00897,3964.47,0.5239365905053054,2077.1308949605677,2075.3808949605677,1,3964.47,INTERVENE,1,RETRY_ALL,70,1,3964.47,3962.72
T0035132,C00764,3389.91,0.6122646315080077,2075.5219969953105,2073.7719969953105,1,3389.91,INTERVENE,1,RETRY_ALL,71,1,3389.91,3388.16
T0037656,C00818,3488.31,0.5913512597710879,2062.8165129720837,2061.0665129720837,1,3488.31,INTERVENE,1,RETRY_ALL,72,1,3488.31,3486.56
T0035080,C00762,3682.97,0.5585445219861277,2057.1027181392487,2055.3527181392487,1,3682.97,INTERVENE,1,RETRY_ALL,73,1,3682.97,3681.22
T0000615,C00014,4415.97,0.4655687741275993,2055.9377394842545,2054.1877394842545,0,0.0,INTERVENE,1,RETRY_ALL,74,0,0.0,-1.75
T0020328,C00448,4929.51,0.4135687967704695,2038.6915193679972,2036.9415193679972,0,0.0,INTERVENE,1,RETRY_ALL,75,0,0.0,-1.75
T0022376,C00492,4040.65,0.5027036401872765,2031.249463722719,2029.499463722719,1,4040.65,INTERVENE,1,RETRY_ALL,76,1,4040.65,4038.9
T0042949,C00938,3438.61,0.5857538579661165,2014.1790735408679,2012.4290735408679,0,0.0,INTERVENE,1,RETRY_ALL,77,0,0.0,-1.75
T0006189,C00136,3562.58,0.560687589746752,1997.4943934799837,1995.7443934799837,0,0.0,INTERVENE,1,RETRY_ALL,78,0,0.0,-1.75
T0002330,C00054,3089.91,0.6458327531579805,1995.5650823103754,1993.8150823103754,1,3089.91,INTERVENE,1,RETRY_ALL,79,1,3089.91,3088.16
T0004390,C00096,3570.26,0.5535451464447997,1976.3000945460105,1974.5500945460105,1,3570.26,INTERVENE,1,RETRY_ALL,80,1,3570.26,3568.51
T0024285,C00534,4329.66,0.4554269516444451,1971.843855456888,1970.093855456888,0,0.0,INTERVENE,1,RETRY_ALL,81,0,0.0,-1.75
T0021886,C00482,5256.59,0.3749432456845867,1970.9229158331416,1969.1729158331416,1,5256.59,INTERVENE,1,RETRY_ALL,82,1,5256.59,5254.84
T0019405,C00427,3359.61,0.5866035826806771,1970.7592624098297,1969.0092624098297,1,3359.61,INTERVENE,1,RETRY_ALL,83,1,3359.61,3357.86
T0010502,C00228,3043.84,0.641039734168526,1951.2223844515263,1949.4723844515263,0,0.0,INTERVENE,1,RETRY_ALL,84,0,0.0,-1.75
T0003525,C00080,3465.69,0.5599988925022219,1940.7825617560254,1939.0325617560254,1,3465.69,INTERVENE,1,RETRY_ALL,85,1,3465.69,3463.94
T0013097,C00287,3516.47,0.5428583688118367,1908.9451681757594,1907.1951681757594,1,3516.47,INTERVENE,1,RETRY_ALL,86,1,3516.47,3514.72
T0025032,C00550,3335.14,0.5704220888699139,1902.4375254736044,1900.6875254736044,1,3335.14,INTERVENE,1,RETRY_ALL,87,1,3335.14,3333.39
T0043760,C00954,3251.86,0.5828673113666634,1895.402895140798,1893.652895140798,1,3251.86,INTERVENE,1,RETRY_ALL,88,1,3251.86,3250.11
T0032221,C00700,4176.0,0.4535895730160999,1894.1900569152333,1892.4400569152333,1,4176.0,INTERVENE,1,RETRY_ALL,89,1,4176.0,4174.25
T0020912,C00461,2910.04,0.6506999228899442,1893.562803606653,1891.812803606653,1,2910.04,INTERVENE,1,RETRY_ALL,90,1,2910.04,2908.29
