policy,transactions,interventions,intervention_rate,recovered_payments,recovered_value,attempted_value,recovery_rate_value,recovery_rate_count,intervention_cost,friction_cost,net_recovered_value,recovery_per_intervention,net_per_intervention,expected_recovery,expected_net_recovery
RETRY_ALL,581,581,1.0,388,866564.8099999999,1294630.07,0.6693532230407717,0.6678141135972461,871.5,145.25,865548.0599999999,1491.5056970740102,1489.7556970740102,637431.0783124866,636414.3283124866
TOP_5,581,29,0.04991394148020654,22,199923.72999999998,273674.23,0.15442537187476263,0.7586206896551724,43.5,7.25,199872.97999999998,6893.92172413793,6892.17172413793,130770.33491384723,130719.58491384723
TOP_10,581,58,0.09982788296041308,42,296837.73,414129.7,0.22928382159391675,0.7241379310344828,87.0,14.5,296736.23,5117.891896551724,5116.141896551724,203484.48604977492,203382.98604977492
TOP_15,581,87,0.14974182444061962,63,378190.36,527049.9400000001,0.29212233576499574,0.7241379310344828,130.5,21.75,378038.11,4347.015632183908,4345.265632183908,263383.2232381728,263230.9732381728
TOP_20,581,116,0.19965576592082615,83,448345.13,630205.81,0.3463113829883466,0.7155172413793104,174.0,29.0,448142.13,3865.044224137931,3863.294224137931,314898.52050908137,314695.52050908137
TOP_25,581,145,0.2495697074010327,102,502342.58999999997,717411.99,0.38802017784122683,0.7034482758620689,217.5,36.25,502088.83999999997,3464.4316551724137,3462.6816551724137,359414.40441127843,359160.65441127843
TOP_30,581,174,0.29948364888123924,120,552342.36,797895.8200000001,0.42664107129845974,0.6896551724137931,261.0,43.5,552037.86,3174.3813793103445,3172.6313793103445,398891.1292818441,398586.6292818441
TOP_40,581,232,0.3993115318416523,153,623441.4099999999,930325.8300000001,0.4815595006224441,0.6594827586206896,348.0,58.0,623035.4099999999,2687.2474568965513,2685.4974568965513,462500.8815109499,462094.8815109499
TOP_50,581,290,0.4991394148020654,193,693496.6699999999,1034962.01,0.5356716841900636,0.6655172413793103,435.0,72.5,692989.1699999999,2391.3678275862067,2389.6178275862067,513069.0070165553,512561.5070165553
TOP_60,581,348,0.5989672977624785,239,753260.81,1114126.9300000002,0.581834786210396,0.6867816091954023,522.0,87.0,752651.81,2164.5425574712644,2162.7925574712644,554142.3321426907,553533.3321426907
TOP_70,581,406,0.6987951807228916,276,795423.84,1184273.5799999998,0.6144024138107652,0.6798029556650246,609.0,101.5,794713.34,1959.1720197044335,1957.4220197044335,586314.7498118357,585604.2498118357
TOP_80,581,464,0.7986230636833046,313,827951.19,1234311.9300000002,0.6395272357608687,0.6745689655172413,696.0,116.0,827139.19,1784.3775646551724,1782.6275646551724,610129.2004447283,609317.2004447283
TOP_90,581,522,0.8984509466437177,356,855739.99,1272759.0,0.6609919001804121,0.6819923371647509,783.0,130.5,854826.49,1639.3486398467433,1637.5986398467433,627717.3238265428,626803.8238265428
PROBABILITY_0.40,581,507,0.8726333907056799,355,742954.52,1053553.95,0.5738739870301328,0.7001972386587771,760.5,126.75,742067.27,1465.3935305719922,1463.6435305719922,554055.1921757201,553167.9421757201
