transaction_id,amount,recovery_probability,confidence,expected_recovery,expected_net_recovery,recommended_action,policy_selected,recovery_flag,recovered_amount,actual_recovered,actual_recovered_amount
T0022306,26703.03,0.3432546856613142,0.3134906286773715,9165.940168854642,6017.938257404028,INTERVENE,RETRY_ALL,1,26703.03,1,26703.03
T0026878,12853.93,0.6599279938780305,0.3198559877560609,8482.668238348633,5596.2002332663,INTERVENE,RETRY_ALL,1,12853.93,1,12853.93
T0000835,9567.33,0.6924871494467064,0.3849742988934128,6625.253079515957,4586.152619397019,INTERVENE,RETRY_ALL,1,9567.33,1,9567.33
T0038230,11837.46,0.5336415544564067,0.0672831089128134,6316.960555215535,3369.2426501250247,INTERVENE,RETRY_ALL,1,11837.46,1,11837.46
T0032751,13412.25,0.4587827320453022,0.0824345359093956,6153.308697874604,3328.5269223455725,INTERVENE,RETRY_ALL,1,13412.25,1,13412.25
T0007170,10058.29,0.5950646718849923,0.1901293437699847,5985.3330385741,3559.9102407215014,INTERVENE,RETRY_ALL,0,0.0,0,0.0
T0019894,11801.87,0.4340136618784932,0.1319726762430135,5122.172815713933,2897.329835191457,INTERVENE,RETRY_ALL,1,11801.87,1,11801.87
T0014488,9490.22,0.5376191914477411,0.0752383828954821,5102.124403061181,2741.249996239541,INTERVENE,RETRY_ALL,0,0.0,0,0.0
T0041621,8270.53,0.6145357949947704,0.2290715899895408,5082.5367285780985,3121.6507490868617,INTERVENE,RETRY_ALL,1,8270.53,1,8270.53
T0038663,20646.44,0.2459145887381636,0.5081708225236727,5077.26080150717,3826.938299588135,INTERVENE,RETRY_ALL,0,0.0,0,0.0
T0012356,10751.67,0.441407603043249,0.1171847939135019,4745.868883412009,2649.2562752275735,INTERVENE,RETRY_ALL,1,10751.67,1,10751.67
T0039243,10270.54,0.4543891280420528,0.0912217439158943,4666.821715121026,2544.518665259465,INTERVENE,RETRY_ALL,1,10270.54,1,10270.54
T0031286,9521.22,0.4391937571875489,0.1216124856249022,4181.660384809234,2343.3512491225347,INTERVENE,RETRY_ALL,0,0.0,0,0.0
