transaction_id,customer_id,timestamp,amount,payment_method,status,failure_reason,historical_transaction_count,historical_success_count,historical_failure_count,historical_success_rate,hours_since_previous_transaction,previous_transaction_success,previous_failure_reason,transactions_last_7d,successful_payments_last_7d,failed_payments_last_7d,avg_amount_last_7d,failure_rate_last_7d,amount_vs_recent_average,payment_momentum,failure_streak,hours_since_last_success,hours_since_last_failure,method_share,base_recovery_probability,model_confidence,retry_now_probability,delayed_retry_probability,retry_now_expected_net,delayed_retry_expected_net,recommended_action,selected_recovery_probability,expected_recovery,uncertainty_penalty,risk_adjusted_recovery,intervention_cost,friction_cost,expected_net_recovery,decision_reason
T0007402,C00161,2026-01-01 00:45:25,645.98,CARD,FAILED,BANK_DECLINE,0,34.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,0.72,0.05,0.72,0.77,242.43044,259.63741500000003,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
T0000765,C00017,2026-01-01 00:54:31,585.73,WALLET,FAILED,BANK_DECLINE,0,27.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,0.72,0.05,0.72,0.77,219.65594000000002,235.28135250000003,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
T0025763,C00568,2026-01-01 01:02:51,8579.48,UPI,FAILED,BANK_DECLINE,0,44.0,4.0,0.9166666666666666,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,0.6741666666666666,0.05,0.6741666666666666,0.7241666666666666,3034.8497024999997,3260.3110524999997,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
T0012789,C00280,2026-01-01 01:07:17,9095.57,NETBANKING,FAILED,LIMIT_EXCEEDED,0,48.0,5.0,0.9056603773584906,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,0.6481132075471698,0.05,0.6081132075471698,0.6781132075471699,2902.096529764151,3236.608727264151,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
T0027386,C00599,2026-01-01 01:18:31,1471.99,WALLET,FAILED,NETWORK_ERROR,0,37.0,4.0,0.902439024390244,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,0.7963414634146343,0.05,0.8763414634146343,0.7763414634146343,675.4820821341465,598.4526071341464,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
T0044921,C00980,2026-01-01 02:04:48,2588.01,CARD,FAILED,NETWORK_ERROR,0,50.0,5.0,0.9090909090909092,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,0.8000000000000002,0.05,0.8800000000000001,0.7800000000000001,1193.9106200000003,1058.2900950000003,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
T0044563,C00972,2026-01-01 02:40:24,3199.78,CARD,FAILED,NETWORK_ERROR,0,44.0,4.0,0.9166666666666666,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,0.8041666666666666,0.05,0.8841666666666665,0.7841666666666666,1483.54787875,1315.80942875,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
T0014516,C00320,2026-01-01 02:42:13,820.05,NETBANKING,FAILED,BANK_DECLINE,0,33.0,2.0,0.9428571428571428,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,0.6885714285714286,0.05,0.6885714285714286,0.7385714285714287,294.698075,316.47438750000003,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
T0031375,C00681,2026-01-01 02:47:17,700.49,UPI,FAILED,LIMIT_EXCEEDED,1,1.0,0.0,1.0,1.7338888888888888,1,NONE,1.0,1.0,0.0,1951.09,0.0,0.3590249552814068,1.0,1,1.7338888888888888,-1.0,1.0,0.7233333333333333,0.05,0.6833333333333332,0.7533333333333333,249.55078749999998,275.543795,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
T0007096,C00155,2026-01-01 02:53:30,711.69,UPI,FAILED,INSUFFICIENT_FUNDS,0,42.0,1.0,0.9767441860465116,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,0.6572093023255815,0.05,0.5972093023255816,0.7372093023255815,221.38964139534892,273.9488563953489,NO_ACTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABSTAIN_LOW_CONFIDENCE
