policy,transactions,interventions,intervention_rate,recovered_payments,recovered_value,recovery_rate_value,recovery_rate_count,intervention_cost,friction_cost,net_recovered_value,recovery_per_intervention,net_per_intervention,expected_recovery,expected_net_recovery
RETRY_ALL,581,581,100.0,388,866564.81,66.93532230407719,66.7814113597246,871.5,145.25,865548.06,1491.5056970740104,1489.7556970740104,637431.0783124866,370770.8721971238
TOP_5,581,29,4.991394148020654,23,202608.11,15.649884449231122,79.3103448275862,43.5,7.25,202557.36,6986.486551724138,6984.736551724138,130165.01139952376,80203.63545266101
TOP_10,581,58,9.982788296041308,41,289399.17000000004,22.353811849897788,70.6896551724138,87.0,14.5,289297.67000000004,4989.640862068966,4987.890862068966,203175.51040686877,122586.2238776923
TOP_20,581,116,19.965576592082616,82,439535.66000000003,33.95067596413854,70.6896551724138,174.0,29.0,439332.66000000003,3789.1005172413797,3787.3505172413797,313171.5229784252,186708.30228166352
TOP_30,581,174,29.948364888123923,119,548358.7200000001,42.35640224237956,68.39080459770115,261.0,43.5,548054.2200000001,3151.486896551725,3149.736896551725,398170.17462954746,234650.99915818268
TOP_40,581,232,39.93115318416523,152,620802.7100000001,47.95213122154656,65.51724137931035,348.0,58.0,620396.7100000001,2675.87375,2674.12375,461622.44528020656,270858.37628885615
TOP_50,581,290,49.91394148020654,193,690833.4,53.361451738873946,66.55172413793103,435.0,72.5,690325.9,2382.1841379310345,2380.4341379310345,512475.3451267847,299711.563633322
TOP_60,581,348,59.896729776247845,234,746123.6000000001,57.63218523110621,67.24137931034483,522.0,87.0,745514.6000000001,2144.0333333333338,2142.2833333333338,553605.7377766877,323212.0463677403
TOP_70,581,406,69.87951807228916,278,797532.1599999999,61.603092534379336,68.4729064039409,609.0,101.5,796821.6599999999,1964.3649261083742,1962.6149261083742,585924.4654524513,341364.12717835675
TOP_80,581,464,79.86230636833047,313,828380.8400000001,63.98591066249527,67.45689655172413,696.0,116.0,827568.8400000001,1785.3035344827588,1783.5535344827588,609914.2344303606,355148.9768355421
TOP_90,581,522,89.84509466437177,355,855218.4299999999,66.0589036063406,68.00766283524904,783.0,130.5,854304.9299999999,1638.3494827586205,1636.5994827586205,627680.1403724507,365195.3376279562
PROBABILITY_0.40,581,507,87.263339070568,355,742954.5199999999,57.38739870301327,70.01972386587771,760.5,126.75,742067.2699999999,1465.393530571992,1463.643530571992,554055.1921757201,317019.7869868244
PROBABILITY_0.50,581,308,53.01204819277109,228,464466.11,35.87635732885456,74.02597402597402,462.0,77.0,463927.11,1508.0068506493506,1506.2568506493506,367644.8952925962,214083.58596529908
PROBABILITY_0.60,581,99,17.03958691910499,79,175987.81999999998,13.593676222891993,79.7979797979798,148.5,24.75,175814.56999999998,1777.6547474747472,1775.9047474747472,136286.099774987,86635.74816564437
PROBABILITY_0.70,581,1,0.17211703958691912,1,450.44,0.034792950545324504,100.0,1.5,0.25,448.69,450.44,448.69,319.0619161273263,224.25236729162822
PROBABILITY_0.80,581,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONFIDENCE_0.20,581,173,29.776247848537007,112,299598.11000000004,23.14159982395589,64.73988439306359,259.5,43.25,299295.36000000004,1731.7809826589598,1730.0309826589598,219661.9859117535,140386.83337594377
CONFIDENCE_0.30,581,50,8.605851979345955,30,122044.98000000001,9.427015703412483,60.0,75.0,12.5,121957.48000000001,2440.8996,2439.1496,82605.86248498503,55801.64638215819
CONFIDENCE_0.40,581,13,2.2375215146299485,4,3290.0,0.25412664793117307,30.76923076923077,19.5,3.25,3267.25,253.07692307692307,251.32692307692307,8730.053438712004,6541.744983753553
CONFIDENCE_0.50,581,7,1.2048192771084338,1,492.75,0.038061065583004726,14.285714285714285,10.5,1.75,480.5,70.39285714285714,68.64285714285714,6588.492473315672,5024.01989449482
CONFIDENCE_0.60,581,3,0.5163511187607573,0,0.0,0.0,0.0,4.5,0.75,-5.25,0.0,-1.75,735.9981449818374,605.1756226440714
ECONOMIC_RECLAIM,581,173,29.776247848537007,112,299598.11000000004,23.14159982395589,64.73988439306359,259.5,43.25,299295.36000000004,1731.7809826589598,1730.0309826589598,219661.9859117535,140386.83337594377
