policy,transactions,interventions,intervention_rate,recovered_payments,recovered_value,recovery_rate_value,recovery_rate_count,expected_recovery,expected_net_recovery,intervention_cost,friction_cost,net_recovered_value,net_per_intervention
RETRY_ALL,581,581,1.0,388,866564.8099999999,0.6693532230407717,0.6678141135972461,637431.0783124866,636414.3283124866,871.5,145.25,865548.0599999999,1489.7556970740102
TOP_5,581,30,0.05163511187607573,23,204852.28999999998,0.15823229719977072,0.7666666666666667,133686.73898627068,133634.23898627068,45.0,7.5,204799.78999999998,6826.6596666666655
TOP_10,581,59,0.10154905335628227,43,300935.88999999996,0.23244932816986086,0.7288135593220338,205722.59967393958,205619.34967393958,88.5,14.75,300832.63999999996,5098.858305084745
TOP_20,581,117,0.20137693631669534,83,448345.13,0.3463113829883466,0.7094017094017094,316536.06895615236,316331.31895615236,175.5,29.25,448140.38,3830.259658119658
TOP_30,581,175,0.30120481927710846,121,554298.45,0.4281519971183737,0.6914285714285714,400174.5326179352,399868.2826179352,262.5,43.75,553992.2,3165.6697142857142
TOP_40,581,233,0.4010327022375215,154,624885.77,0.4826751552279332,0.6609442060085837,463451.91376341856,463044.16376341856,349.5,58.25,624478.02,2680.1631759656652
TOP_50,581,291,0.5008605851979346,193,693496.6699999999,0.5356716841900636,0.6632302405498282,513849.5323483021,513340.2823483021,436.5,72.75,692987.4199999999,2381.400068728522
TOP_60,581,349,0.6006884681583476,239,753260.81,0.581834786210396,0.6848137535816619,554780.2617060016,554169.5117060016,523.5,87.25,752650.06,2156.590429799427
TOP_70,581,407,0.7005163511187608,277,796260.8,0.6150488996443594,0.6805896805896806,586794.1819983524,586081.9319983524,610.5,101.75,795548.55,1954.6647420147422
TOP_80,581,465,0.8003442340791739,313,827951.19,0.6395272357608687,0.6731182795698925,610479.6648572029,609665.9148572029,697.5,116.25,827137.44,1778.790193548387
TOP_90,581,523,0.9001721170395869,357,856293.94,0.6614197830272859,0.6826003824091779,627965.1259275173,627049.8759275173,784.5,130.75,855378.69,1635.523307839388
TOP_100,581,581,1.0,388,866564.8099999999,0.6693532230407717,0.6678141135972461,637431.0783124866,636414.3283124866,871.5,145.25,865548.0599999999,1489.7556970740102
PROBABILITY_0.40,581,507,0.8726333907056799,355,742954.52,0.5738739870301328,0.7001972386587771,554055.1921757201,553167.9421757201,760.5,126.75,742067.27,1463.6435305719922
PROBABILITY_0.50,581,308,0.5301204819277109,228,464466.11,0.35876357328854563,0.7402597402597403,367644.8952925962,367105.8952925962,462.0,77.0,463927.11,1506.2568506493506
PROBABILITY_0.55,581,199,0.342512908777969,156,323075.9,0.2495507461834252,0.7839195979899497,249165.16860777672,248816.91860777672,298.5,49.75,322727.65,1621.7469849246231
PROBABILITY_0.60,581,99,0.1703958691910499,79,175987.81999999998,0.13593676222891993,0.797979797979798,136286.099774987,136112.849774987,148.5,24.75,175814.56999999998,1775.9047474747472
PROBABILITY_0.65,581,23,0.039586919104991396,19,63149.680000000015,0.048778165642329015,0.8260869565217391,47580.41528035655,47540.16528035655,34.5,5.75,63109.430000000015,2743.888260869566
PROBABILITY_0.70,581,1,0.0017211703958691911,1,450.44,0.00034792950545324504,1.0,319.0619161273263,317.3119161273263,1.5,0.25,448.69,448.69
PROBABILITY_0.75,581,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROBABILITY_0.80,581,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROBABILITY_0.85,581,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSITIVE_INCREMENTAL_VALUE,581,581,1.0,388,866564.8099999999,0.6693532230407717,0.6678141135972461,637431.0783124866,636414.3283124866,871.5,145.25,865548.0599999999,1489.7556970740102
HIGH_PROBABILITY_POSITIVE_VALUE,581,99,0.1703958691910499,79,175987.81999999998,0.13593676222891993,0.797979797979798,136286.099774987,136112.849774987,148.5,24.75,175814.56999999998,1775.9047474747472
INCREMENTAL_RECLAIM,581,173,0.2977624784853701,112,299598.11,0.23141599823955886,0.6473988439306358,219661.9859117535,219359.2359117535,259.5,43.25,299295.36,1730.0309826589594
