failure_reason,confidence,recovery_rank,actual_recovered,transaction_id,amount,recovery_probability,recovery_flag,recovered_amount,expected_recovery,expected_intervention_cost,expected_friction_cost,expected_net_recovery,incremental_value,reclaim_intervene,reclaim_action,incremental_rank
LIMIT_EXCEEDED,0.3134906286773715,1,1,T0022306,26703.03,0.3432546856613142,1,26703.03,9165.940168854642,1.5,0.25,9164.190168854642,9164.190168854642,True,DELAYED_RETRY,1.0
PAYMENT_TIMEOUT,0.3198559877560609,2,1,T0026878,12853.93,0.6599279938780305,1,12853.93,8482.668238348633,1.5,0.25,8480.918238348633,8480.918238348633,True,RETRY_NOW,2.0
PAYMENT_TIMEOUT,0.3849742988934128,3,1,T0000835,9567.33,0.6924871494467064,1,9567.33,6625.253079515957,1.5,0.25,6623.503079515957,6623.503079515957,True,RETRY_NOW,3.0
NETWORK_ERROR,0.0672831089128134,4,1,T0038230,11837.46,0.5336415544564067,1,11837.46,6316.960555215535,1.5,0.25,6315.210555215535,6315.210555215535,False,NO_ACTION,
INSUFFICIENT_FUNDS,0.0824345359093956,5,1,T0032751,13412.25,0.4587827320453022,1,13412.25,6153.308697874604,1.5,0.25,6151.558697874604,6151.558697874604,False,NO_ACTION,
PAYMENT_TIMEOUT,0.1901293437699847,6,0,T0007170,10058.29,0.5950646718849923,0,0.0,5985.3330385741,1.5,0.25,5983.5830385741,5983.5830385741,False,NO_ACTION,
BANK_DECLINE,0.1319726762430135,7,1,T0019894,11801.87,0.4340136618784932,1,11801.87,5122.172815713933,1.5,0.25,5120.422815713933,5120.422815713933,False,NO_ACTION,
NETWORK_ERROR,0.0752383828954821,8,0,T0014488,9490.22,0.5376191914477411,0,0.0,5102.124403061181,1.5,0.25,5100.374403061181,5100.374403061181,False,NO_ACTION,
PAYMENT_TIMEOUT,0.2290715899895408,9,1,T0041621,8270.53,0.6145357949947704,1,8270.53,5082.5367285780985,1.5,0.25,5080.7867285780985,5080.7867285780985,True,DELAYED_RETRY,4.0
BANK_DECLINE,0.5081708225236727,10,0,T0038663,20646.44,0.2459145887381636,0,0.0,5077.26080150717,1.5,0.25,5075.51080150717,5075.51080150717,True,DELAYED_RETRY,5.0
BANK_DECLINE,0.1171847939135019,11,1,T0012356,10751.67,0.441407603043249,1,10751.67,4745.868883412009,1.5,0.25,4744.118883412009,4744.118883412009,False,NO_ACTION,
BANK_DECLINE,0.0912217439158943,12,1,T0039243,10270.54,0.4543891280420528,1,10270.54,4666.821715121026,1.5,0.25,4665.071715121026,4665.071715121026,False,NO_ACTION,
BANK_DECLINE,0.1216124856249022,13,0,T0031286,9521.22,0.4391937571875489,0,0.0,4181.660384809234,1.5,0.25,4179.910384809234,4179.910384809234,False,NO_ACTION,
BANK_DECLINE,0.2103637059745792,14,1,T0011868,10458.95,0.3948181470127104,1,10458.95,4129.383258698587,1.5,0.25,4127.633258698587,4127.633258698587,True,DELAYED_RETRY,6.0
PAYMENT_TIMEOUT,0.3581227359121448,15,1,T0034332,5766.06,0.6790613679560724,1,5766.06,3915.5085913167914,1.5,0.25,3913.7585913167914,3913.7585913167914,True,RETRY_NOW,7.0
PAYMENT_TIMEOUT,0.3000754720746486,16,1,T0014941,5939.97,0.6500377360373243,1,5939.97,3861.204650929625,1.5,0.25,3859.454650929625,3859.454650929625,True,RETRY_NOW,8.0
LIMIT_EXCEEDED,0.210363254074124,17,0,T0014445,9629.4,0.394818372962938,0,0.0,3801.864040609315,1.5,0.25,3800.114040609315,3800.114040609315,True,DELAYED_RETRY,9.0
INSUFFICIENT_FUNDS,0.1071406321405179,18,1,T0033473,6449.65,0.553570316070259,1,6449.65,3570.3347890425457,1.5,0.25,3568.5847890425457,3568.5847890425457,False,NO_ACTION,
INSUFFICIENT_FUNDS,0.3116724786304076,19,1,T0034060,10016.59,0.3441637606847962,1,10016.59,3447.3472836377227,1.5,0.25,3445.5972836377227,3445.5972836377227,True,DELAYED_RETRY,10.0
NETWORK_ERROR,0.1490856151957607,20,1,T0018044,5641.17,0.5745428075978803,1,5641.17,3241.0936499369345,1.5,0.25,3239.3436499369345,3239.3436499369345,False,NO_ACTION,
INSUFFICIENT_FUNDS,0.0022113768431868,21,1,T0022168,6466.34,0.5011056884215934,1,6466.34,3240.3197572680865,1.5,0.25,3238.5697572680865,3238.5697572680865,False,NO_ACTION,
