transaction_id,customer_id,v7_decision,v7_intervention_selected,v7_production_rank,production_target_rate,v8_decision,v8_intervention_selected,v8_production_rank,target_group,v12_cohort_status,v10_2_target_rate,artificial_outcome,artificial_transaction_id
RECLAIM-V2-000001,C00233,RETRY_ALL,0,9629,0.05,RETRY_ALL,0,9629,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000002,C00512,RETRY_ALL,0,9552,0.05,RETRY_ALL,0,9552,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000003,C00329,RETRY_ALL,0,7329,0.05,RETRY_ALL,0,7329,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000004,C00565,RETRY_ALL,0,2055,0.05,RETRY_ALL,0,2055,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000005,C00708,RETRY_ALL,0,7920,0.05,RETRY_ALL,0,7920,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000006,C00969,RETRY_ALL,0,6618,0.05,RETRY_ALL,0,6618,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000007,C00734,RETRY_ALL,0,8851,0.05,RETRY_ALL,0,8851,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000008,C00094,RETRY_ALL,0,2488,0.05,RETRY_ALL,0,2488,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000009,C00360,RETRY_ALL,0,935,0.05,RETRY_ALL,0,935,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000010,C00819,TARGET,1,247,0.05,TARGET,1,247,TARGET,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000011,C00691,RETRY_ALL,0,5452,0.05,RETRY_ALL,0,5452,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000012,C00586,RETRY_ALL,0,3291,0.05,RETRY_ALL,0,3291,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000013,C00451,RETRY_ALL,0,2993,0.05,RETRY_ALL,0,2993,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000014,C00598,RETRY_ALL,0,1762,0.05,RETRY_ALL,0,1762,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000015,C00625,RETRY_ALL,0,7577,0.05,RETRY_ALL,0,7577,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000016,C00512,RETRY_ALL,0,9590,0.05,RETRY_ALL,0,9590,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000017,C00469,RETRY_ALL,0,4894,0.05,RETRY_ALL,0,4894,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000018,C00478,RETRY_ALL,0,9483,0.05,RETRY_ALL,0,9483,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000019,C00343,RETRY_ALL,0,7922,0.05,RETRY_ALL,0,7922,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000020,C00823,RETRY_ALL,0,3170,0.05,RETRY_ALL,0,3170,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000021,C00937,RETRY_ALL,0,9024,0.05,RETRY_ALL,0,9024,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000022,C00851,RETRY_ALL,0,1374,0.05,RETRY_ALL,0,1374,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000023,C00712,RETRY_ALL,0,7990,0.05,RETRY_ALL,0,7990,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000024,C00764,RETRY_ALL,0,1800,0.05,RETRY_ALL,0,1800,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000025,C00643,RETRY_ALL,0,4800,0.05,RETRY_ALL,0,4800,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000026,C00373,RETRY_ALL,0,3593,0.05,RETRY_ALL,0,3593,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000027,C00384,RETRY_ALL,0,7107,0.05,RETRY_ALL,0,7107,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000028,C00193,RETRY_ALL,0,7344,0.05,RETRY_ALL,0,7344,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000029,C00238,RETRY_ALL,0,9356,0.05,RETRY_ALL,0,9356,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000030,C00414,RETRY_ALL,0,1770,0.05,RETRY_ALL,0,1770,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000031,C00518,RETRY_ALL,0,6332,0.05,RETRY_ALL,0,6332,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
