transaction_id,customer_id,production_decision,production_intervention_selected,has_observed_outcome,recovered_x,recovered_amount_x,outcome_matched,observed_outcome_available,recovered_y,recovered_amount_y
RECLAIM-V2-000001,C00233,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000002,C00512,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000003,C00329,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000004,C00565,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000005,C00708,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000006,C00969,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000007,C00734,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000008,C00094,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000009,C00360,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000010,C00819,TARGET,1,0,,,0,0,,
RECLAIM-V2-000011,C00691,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000012,C00586,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000013,C00451,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000014,C00598,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000015,C00625,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000016,C00512,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000017,C00469,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000018,C00478,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000019,C00343,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000020,C00823,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000021,C00937,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000022,C00851,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000023,C00712,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000024,C00764,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000025,C00643,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000026,C00373,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000027,C00384,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000028,C00193,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000029,C00238,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000030,C00414,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000031,C00518,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000032,C00304,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000033,C00886,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000034,C00525,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000035,C00347,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000036,C00584,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000037,C00942,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000038,C00226,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000039,C00080,TARGET,1,0,,,0,0,,
RECLAIM-V2-000040,C00791,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000041,C00749,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000042,C00485,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000043,C00482,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000044,C00671,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000045,C00955,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000046,C00107,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000047,C00691,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000048,C00319,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000049,C00041,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000050,C00525,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000051,C00886,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000052,C00708,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000053,C00131,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000054,C00570,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000055,C00521,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000056,C00347,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000057,C00229,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000058,C00122,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000059,C00107,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000060,C00291,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000061,C00395,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000062,C00138,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000063,C00315,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000064,C00279,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000065,C00124,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000066,C00664,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000067,C00179,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000068,C00173,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000069,C00906,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000070,C00418,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000071,C00449,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000072,C00062,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000073,C00147,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000074,C00999,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000075,C00347,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000076,C00816,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000077,C00012,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000078,C00590,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000079,C00018,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000080,C00307,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000081,C00022,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000082,C00289,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000083,C00500,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000084,C00899,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000085,C00746,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000086,C00894,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000087,C00485,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000088,C00516,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000089,C00446,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000090,C00339,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000091,C00136,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000092,C00294,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000093,C00542,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000094,C00189,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000095,C00695,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000096,C00943,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000097,C00345,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000098,C00317,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000099,C00098,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000100,C00431,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000101,C00493,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000102,C00228,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000103,C00488,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000104,C00185,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000105,C00435,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000106,C00981,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000107,C00270,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000108,C00347,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000109,C00440,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000110,C00480,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000111,C00397,TARGET,1,0,,,0,0,,
RECLAIM-V2-000112,C00145,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000113,C00664,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000114,C00619,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000115,C00043,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000116,C00214,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000117,C00664,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000118,C00590,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000119,C00752,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000120,C00147,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000121,C00270,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000122,C00159,RETRY_ALL,0,0,,,0,0,,
RECLAIM-V2-000123,C00193,RETRY_ALL,0,0,,,0,0,,
