transaction_id,customer_id,predicted_treatment_probability,predicted_control_probability,predicted_probability_uplift,selected_policy_type,selected_policy_parameter,selected_policy,intervention_selected,oracle_control_value,oracle_treatment_value,oracle_incremental_value,production_rank,production_policy_type,production_target_rate,production_capacity,production_intervention_selected,production_decision,production_priority,expected_incremental_recovery_value,economic_opportunity_score,economic_value_band,economic_priority,economic_decision_reason,economic_operator_action,uplift_segment,treatment_control_probability_gap
RECLAIM-V2-000001,C00233,0.3775376599237234,0.6199174949348517,-0.2423798350111282,TOP_RATE,0.05,RETRY_ALL,0,33.08534477496636,-4.584800000000001,-37.67014477496636,9629,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,BOTTOM_10,-0.2423798350111283
RECLAIM-V2-000002,C00512,0.3155948315073909,0.5420153936560523,-0.2264205621486614,TOP_RATE,0.05,RETRY_ALL,0,56.08861404748613,-22.354299999999995,-78.44291404748613,9552,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,BOTTOM_10,-0.2264205621486614
RECLAIM-V2-000003,C00329,0.6747169433359158,0.7489347988148347,-0.0742178554789189,TOP_RATE,0.05,RETRY_ALL,0,5939.97,5801.708172646537,-138.26182735346356,7329,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.0742178554789189
RECLAIM-V2-000004,C00565,0.4597646094672554,0.3077670740346339,0.1519975354326215,TOP_RATE,0.05,RETRY_ALL,0,1133.12,1012.1040137703616,-121.01598622963832,2055,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,227.99630314893227,15.199753543262151,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P70_P80,0.1519975354326215
RECLAIM-V2-000005,C00708,0.5016674577352037,0.6040342654537666,-0.1023668077185628,TOP_RATE,0.05,RETRY_ALL,0,0.0,-106.3199252403261,-106.3199252403261,7920,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.10236680771856288
RECLAIM-V2-000006,C00969,0.3609695113772536,0.4070518630931873,-0.0460823517159336,TOP_RATE,0.05,RETRY_ALL,0,2152.95,2127.5985514301656,-25.351448569834247,6618,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P30_P40,-0.04608235171593372
RECLAIM-V2-000007,C00734,0.498514379601686,0.6552197388240836,-0.1567053592223976,TOP_RATE,0.05,RETRY_ALL,0,3776.6,3714.686936124152,-61.91306387584791,8851,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P10_P20,-0.1567053592223976
RECLAIM-V2-000008,C00094,0.4727852597638859,0.338790531861856,0.1339947279020299,TOP_RATE,0.05,RETRY_ALL,0,0.0,-7.205462697427208,-7.205462697427208,2488,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,200.99209185304485,13.39947279020299,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P70_P80,0.13399472790202993
RECLAIM-V2-000009,C00360,0.760516022290845,0.5443028294936391,0.2162131927972059,TOP_RATE,0.05,RETRY_ALL,0,878.1059953390265,849.03595,-29.070045339026592,935,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,324.3197891958089,21.62131927972059,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,TOP_10,0.21621319279720597
RECLAIM-V2-000010,C00819,0.66419917618138,0.3610545617922387,0.3031446143891413,TOP_RATE,0.05,TARGET,1,1916.3468490612795,1863.3887,-52.95814906127953,247,TOP_RATE,0.05,500,1,TARGET,TARGET,454.71692158371195,30.31446143891413,VERY_HIGH,TARGET_VALUE,Predicted uplift places transaction inside validated 5% targeting capacity,Queue for intervention,TOP_10,0.3031446143891413
RECLAIM-V2-000011,C00691,0.3118626411845091,0.3144447342953022,-0.002582093110793,TOP_RATE,0.05,RETRY_ALL,0,0.0,-153.702502237697,-153.702502237697,5452,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P40_P50,-0.002582093110793049
RECLAIM-V2-000012,C00586,0.603862066797945,0.5122944941839498,0.0915675726139951,TOP_RATE,0.05,RETRY_ALL,0,705.441140989357,657.9064000000001,-47.53474098935692,3291,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,137.35135892099265,9.15675726139951,HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P60_P70,0.09156757261399517
RECLAIM-V2-000013,C00451,0.5661413565808765,0.458949117188078,0.1071922393927984,TOP_RATE,0.05,RETRY_ALL,0,32.46750881489462,-6.2014,-38.66890881489462,2993,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,160.7883590891976,10.71922393927984,HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P70_P80,0.10719223939279848
RECLAIM-V2-000014,C00598,0.4942386522230454,0.3270546546926242,0.1671839975304212,TOP_RATE,0.05,RETRY_ALL,0,499.26280626852656,426.48930000000007,-72.77350626852649,1762,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,250.7759962956318,16.71839975304212,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P80_P90,0.16718399753042124
RECLAIM-V2-000015,C00625,0.3907672323147766,0.4753817076841061,-0.0846144753693295,TOP_RATE,0.05,RETRY_ALL,0,1447.5831249654686,1293.4925,-154.09062496546858,7577,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.08461447536932948
RECLAIM-V2-000016,C00512,0.3057128135271554,0.5380022323961485,-0.232289418868993,TOP_RATE,0.05,RETRY_ALL,0,29.11920874604536,-22.8543,-51.97350874604536,9590,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,BOTTOM_10,-0.23228941886899312
RECLAIM-V2-000017,C00469,0.6484132316792574,0.6278233458426314,0.0205898858366259,TOP_RATE,0.05,RETRY_ALL,0,637.3051467441159,560.44615,-76.85899674411587,4894,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,30.884828754938848,2.05898858366259,LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P50_P60,0.02058988583662591
RECLAIM-V2-000018,C00478,0.4963704008862376,0.705204966194719,-0.2088345653084813,TOP_RATE,0.05,RETRY_ALL,0,1154.5079370051517,1018.9521,-135.55583700515172,9483,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,BOTTOM_10,-0.20883456530848138
