transaction_id,production_decision,recommended_action,expected_incremental_recovery_value,estimated_action_cost,estimated_net_action_value,reconciled_net_action_value,reconciliation_error,reconciliation_status
RECLAIM-V2-000001,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000002,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000003,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000004,RETRY_ALL,RETRY_ALL,227.99630314893227,25.0,202.99630314893227,202.99630314893227,0.0,PASS
RECLAIM-V2-000005,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000006,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000007,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000008,RETRY_ALL,RETRY_ALL,200.99209185304483,25.0,175.99209185304483,175.99209185304483,0.0,PASS
RECLAIM-V2-000009,RETRY_ALL,RETRY_ALL,324.3197891958089,25.0,299.3197891958089,299.3197891958089,0.0,PASS
RECLAIM-V2-000010,TARGET,LOW_INTENSITY,454.716921583712,45.0,409.716921583712,409.716921583712,0.0,PASS
RECLAIM-V2-000011,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000012,RETRY_ALL,RETRY_ALL,137.35135892099265,25.0,112.35135892099264,112.35135892099265,1.4210854715202004e-14,PASS
RECLAIM-V2-000013,RETRY_ALL,RETRY_ALL,160.7883590891976,25.0,135.7883590891976,135.7883590891976,0.0,PASS
RECLAIM-V2-000014,RETRY_ALL,RETRY_ALL,250.7759962956318,25.0,225.7759962956318,225.7759962956318,0.0,PASS
RECLAIM-V2-000015,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000016,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000017,RETRY_ALL,RETRY_ALL,30.884828754938848,25.0,5.884828754938848,5.884828754938848,0.0,PASS
RECLAIM-V2-000018,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000019,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000020,RETRY_ALL,RETRY_ALL,146.4748164743226,25.0,121.4748164743226,121.47481647432261,1.4210854715202004e-14,PASS
RECLAIM-V2-000021,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000022,RETRY_ALL,RETRY_ALL,285.400200959662,25.0,260.400200959662,260.400200959662,0.0,PASS
RECLAIM-V2-000023,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000024,RETRY_ALL,RETRY_ALL,247.88297472579785,25.0,222.88297472579785,222.88297472579785,0.0,PASS
RECLAIM-V2-000025,RETRY_ALL,RETRY_ALL,35.644137864079354,25.0,10.644137864079354,10.644137864079354,0.0,PASS
RECLAIM-V2-000026,RETRY_ALL,RETRY_ALL,118.28719664952436,25.0,93.28719664952436,93.28719664952436,0.0,PASS
RECLAIM-V2-000027,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000028,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000029,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000030,RETRY_ALL,RETRY_ALL,250.1470050091593,25.0,225.1470050091593,225.1470050091593,0.0,PASS
RECLAIM-V2-000031,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000032,RETRY_ALL,RETRY_ALL,164.00978422485196,25.0,139.00978422485196,139.00978422485196,0.0,PASS
RECLAIM-V2-000033,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000034,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
RECLAIM-V2-000035,RETRY_ALL,RETRY_ALL,0.0,25.0,-25.0,-25.0,0.0,PASS
