transaction_id,production_decision,production_intervention_selected,recovered,recovered_amount,outcome_matched,observed_outcome_available
RECLAIM-V2-000001,RETRY_ALL,0,,,0,0
RECLAIM-V2-000002,RETRY_ALL,0,,,0,0
RECLAIM-V2-000003,RETRY_ALL,0,,,0,0
RECLAIM-V2-000004,RETRY_ALL,0,,,0,0
RECLAIM-V2-000005,RETRY_ALL,0,,,0,0
RECLAIM-V2-000006,RETRY_ALL,0,,,0,0
RECLAIM-V2-000007,RETRY_ALL,0,,,0,0
RECLAIM-V2-000008,RETRY_ALL,0,,,0,0
RECLAIM-V2-000009,RETRY_ALL,0,,,0,0
RECLAIM-V2-000010,TARGET,1,,,0,0
RECLAIM-V2-000011,RETRY_ALL,0,,,0,0
RECLAIM-V2-000012,RETRY_ALL,0,,,0,0
RECLAIM-V2-000013,RETRY_ALL,0,,,0,0
RECLAIM-V2-000014,RETRY_ALL,0,,,0,0
RECLAIM-V2-000015,RETRY_ALL,0,,,0,0
RECLAIM-V2-000016,RETRY_ALL,0,,,0,0
RECLAIM-V2-000017,RETRY_ALL,0,,,0,0
RECLAIM-V2-000018,RETRY_ALL,0,,,0,0
RECLAIM-V2-000019,RETRY_ALL,0,,,0,0
RECLAIM-V2-000020,RETRY_ALL,0,,,0,0
RECLAIM-V2-000021,RETRY_ALL,0,,,0,0
RECLAIM-V2-000022,RETRY_ALL,0,,,0,0
RECLAIM-V2-000023,RETRY_ALL,0,,,0,0
RECLAIM-V2-000024,RETRY_ALL,0,,,0,0
RECLAIM-V2-000025,RETRY_ALL,0,,,0,0
RECLAIM-V2-000026,RETRY_ALL,0,,,0,0
RECLAIM-V2-000027,RETRY_ALL,0,,,0,0
RECLAIM-V2-000028,RETRY_ALL,0,,,0,0
RECLAIM-V2-000029,RETRY_ALL,0,,,0,0
RECLAIM-V2-000030,RETRY_ALL,0,,,0,0
RECLAIM-V2-000031,RETRY_ALL,0,,,0,0
RECLAIM-V2-000032,RETRY_ALL,0,,,0,0
RECLAIM-V2-000033,RETRY_ALL,0,,,0,0
RECLAIM-V2-000034,RETRY_ALL,0,,,0,0
RECLAIM-V2-000035,RETRY_ALL,0,,,0,0
RECLAIM-V2-000036,RETRY_ALL,0,,,0,0
RECLAIM-V2-000037,RETRY_ALL,0,,,0,0
RECLAIM-V2-000038,RETRY_ALL,0,,,0,0
RECLAIM-V2-000039,TARGET,1,,,0,0
RECLAIM-V2-000040,RETRY_ALL,0,,,0,0
RECLAIM-V2-000041,RETRY_ALL,0,,,0,0
RECLAIM-V2-000042,RETRY_ALL,0,,,0,0
RECLAIM-V2-000043,RETRY_ALL,0,,,0,0
RECLAIM-V2-000044,RETRY_ALL,0,,,0,0
RECLAIM-V2-000045,RETRY_ALL,0,,,0,0
RECLAIM-V2-000046,RETRY_ALL,0,,,0,0
RECLAIM-V2-000047,RETRY_ALL,0,,,0,0
RECLAIM-V2-000048,RETRY_ALL,0,,,0,0
RECLAIM-V2-000049,RETRY_ALL,0,,,0,0
RECLAIM-V2-000050,RETRY_ALL,0,,,0,0
RECLAIM-V2-000051,RETRY_ALL,0,,,0,0
RECLAIM-V2-000052,RETRY_ALL,0,,,0,0
RECLAIM-V2-000053,RETRY_ALL,0,,,0,0
RECLAIM-V2-000054,RETRY_ALL,0,,,0,0
RECLAIM-V2-000055,RETRY_ALL,0,,,0,0
RECLAIM-V2-000056,RETRY_ALL,0,,,0,0
RECLAIM-V2-000057,RETRY_ALL,0,,,0,0
RECLAIM-V2-000058,RETRY_ALL,0,,,0,0
RECLAIM-V2-000059,RETRY_ALL,0,,,0,0
RECLAIM-V2-000060,RETRY_ALL,0,,,0,0
RECLAIM-V2-000061,RETRY_ALL,0,,,0,0
RECLAIM-V2-000062,RETRY_ALL,0,,,0,0
RECLAIM-V2-000063,RETRY_ALL,0,,,0,0
RECLAIM-V2-000064,RETRY_ALL,0,,,0,0
RECLAIM-V2-000065,RETRY_ALL,0,,,0,0
RECLAIM-V2-000066,RETRY_ALL,0,,,0,0
RECLAIM-V2-000067,RETRY_ALL,0,,,0,0
RECLAIM-V2-000068,RETRY_ALL,0,,,0,0
RECLAIM-V2-000069,RETRY_ALL,0,,,0,0
RECLAIM-V2-000070,RETRY_ALL,0,,,0,0
RECLAIM-V2-000071,RETRY_ALL,0,,,0,0
RECLAIM-V2-000072,RETRY_ALL,0,,,0,0
RECLAIM-V2-000073,RETRY_ALL,0,,,0,0
RECLAIM-V2-000074,RETRY_ALL,0,,,0,0
RECLAIM-V2-000075,RETRY_ALL,0,,,0,0
RECLAIM-V2-000076,RETRY_ALL,0,,,0,0
RECLAIM-V2-000077,RETRY_ALL,0,,,0,0
RECLAIM-V2-000078,RETRY_ALL,0,,,0,0
RECLAIM-V2-000079,RETRY_ALL,0,,,0,0
RECLAIM-V2-000080,RETRY_ALL,0,,,0,0
RECLAIM-V2-000081,RETRY_ALL,0,,,0,0
RECLAIM-V2-000082,RETRY_ALL,0,,,0,0
RECLAIM-V2-000083,RETRY_ALL,0,,,0,0
RECLAIM-V2-000084,RETRY_ALL,0,,,0,0
RECLAIM-V2-000085,RETRY_ALL,0,,,0,0
RECLAIM-V2-000086,RETRY_ALL,0,,,0,0
RECLAIM-V2-000087,RETRY_ALL,0,,,0,0
RECLAIM-V2-000088,RETRY_ALL,0,,,0,0
RECLAIM-V2-000089,RETRY_ALL,0,,,0,0
RECLAIM-V2-000090,RETRY_ALL,0,,,0,0
RECLAIM-V2-000091,RETRY_ALL,0,,,0,0
RECLAIM-V2-000092,RETRY_ALL,0,,,0,0
RECLAIM-V2-000093,RETRY_ALL,0,,,0,0
RECLAIM-V2-000094,RETRY_ALL,0,,,0,0
RECLAIM-V2-000095,RETRY_ALL,0,,,0,0
RECLAIM-V2-000096,RETRY_ALL,0,,,0,0
RECLAIM-V2-000097,RETRY_ALL,0,,,0,0
RECLAIM-V2-000098,RETRY_ALL,0,,,0,0
RECLAIM-V2-000099,RETRY_ALL,0,,,0,0
RECLAIM-V2-000100,RETRY_ALL,0,,,0,0
RECLAIM-V2-000101,RETRY_ALL,0,,,0,0
RECLAIM-V2-000102,RETRY_ALL,0,,,0,0
RECLAIM-V2-000103,RETRY_ALL,0,,,0,0
RECLAIM-V2-000104,RETRY_ALL,0,,,0,0
RECLAIM-V2-000105,RETRY_ALL,0,,,0,0
RECLAIM-V2-000106,RETRY_ALL,0,,,0,0
RECLAIM-V2-000107,RETRY_ALL,0,,,0,0
RECLAIM-V2-000108,RETRY_ALL,0,,,0,0
RECLAIM-V2-000109,RETRY_ALL,0,,,0,0
RECLAIM-V2-000110,RETRY_ALL,0,,,0,0
RECLAIM-V2-000111,TARGET,1,,,0,0
RECLAIM-V2-000112,RETRY_ALL,0,,,0,0
RECLAIM-V2-000113,RETRY_ALL,0,,,0,0
RECLAIM-V2-000114,RETRY_ALL,0,,,0,0
RECLAIM-V2-000115,RETRY_ALL,0,,,0,0
RECLAIM-V2-000116,RETRY_ALL,0,,,0,0
RECLAIM-V2-000117,RETRY_ALL,0,,,0,0
RECLAIM-V2-000118,RETRY_ALL,0,,,0,0
RECLAIM-V2-000119,RETRY_ALL,0,,,0,0
RECLAIM-V2-000120,RETRY_ALL,0,,,0,0
RECLAIM-V2-000121,RETRY_ALL,0,,,0,0
RECLAIM-V2-000122,RETRY_ALL,0,,,0,0
RECLAIM-V2-000123,RETRY_ALL,0,,,0,0
RECLAIM-V2-000124,RETRY_ALL,0,,,0,0
RECLAIM-V2-000125,RETRY_ALL,0,,,0,0
RECLAIM-V2-000126,RETRY_ALL,0,,,0,0
RECLAIM-V2-000127,RETRY_ALL,0,,,0,0
RECLAIM-V2-000128,TARGET,1,,,0,0
RECLAIM-V2-000129,RETRY_ALL,0,,,0,0
RECLAIM-V2-000130,RETRY_ALL,0,,,0,0
RECLAIM-V2-000131,RETRY_ALL,0,,,0,0
