metric,value
v7_transactions,10000
v8_transactions,10000
v7_target,500
v7_retry_all,9500
v8_target,500
v8_retry_all,9500
outcome_sources,2
matched_production_outcomes,0
ambiguous_outcomes,0
usable_production_outcomes,0
overall_match_rate,0.0
target_matched_outcomes,0
target_match_rate,0.0
retry_all_matched_outcomes,0
retry_all_match_rate,0.0
observed_recovered_rows,0
observed_recovery_rate,0.0
observed_recovered_value,0.0
target_usable_outcomes,0
target_recovered_rows,0
target_recovery_rate,0.0
target_recovered_value,0.0
retry_all_usable_outcomes,0
retry_all_recovered_rows,0
retry_all_recovery_rate,0.0
retry_all_recovered_value,0.0
v10_targeting_changed,NO
v10_causal_model_changed,NO
v10_economic_assumptions_changed,NO
oracle_fields_used_for_decisions,NO
artificial_transaction_matching,NO
artificial_outcome_assignment,NO
v11_eligible,NO
final_verdict,OUTCOME_LINKAGE_NO_PRODUCTION_MATCH
