file,id_column,rows,unique_ids,production_overlap,production_match_rate,outcome_overlap,outcome_match_rate
D:\RECLAIM\data\generated\calibrated_recovery_predictions.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
D:\RECLAIM\data\generated\causal_uplift_diagnostic.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
D:\RECLAIM\data\generated\causal_uplift_predictions.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
D:\RECLAIM\data\generated\causal_uplift_v10_1_predictions.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\causal_uplift_v10_predictions.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\causal_uplift_v2_predictions.csv,transaction_id,3000,3000,3000,0.3,0,0.0
D:\RECLAIM\data\generated\causal_uplift_v3_predictions.csv,experiment_transaction_id,30010,9726,9726,0.9726,0,0.0
D:\RECLAIM\data\generated\causal_uplift_v4_predictions.csv,transaction_id,3000,3000,3000,0.3,0,0.0
D:\RECLAIM\data\generated\causal_uplift_v5_predictions.csv,transaction_id,60000,9991,9991,0.9991,0,0.0
D:\RECLAIM\data\generated\causal_uplift_v6_predictions.csv,transaction_id,60000,9989,9989,0.9989,0,0.0
D:\RECLAIM\data\generated\causal_uplift_v7_predictions.csv,transaction_id,60000,9995,9995,0.9995,0,0.0
D:\RECLAIM\data\generated\causal_uplift_v8_predictions.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\causal_uplift_v9_predictions.csv,transaction_id,3000,3000,3000,0.3,0,0.0
D:\RECLAIM\data\generated\causal_uplift_validation_predictions.csv,transaction_id,175,175,0,0.0,175,0.060261707988980714
D:\RECLAIM\data\generated\cost_constrained_final_policy.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
D:\RECLAIM\data\generated\economic_final_policy.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
D:\RECLAIM\data\generated\economic_opportunities.csv,transaction_id,2904,2904,0,0.0,2904,1.0
D:\RECLAIM\data\generated\incremental_recovery_policy.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
D:\RECLAIM\data\generated\reclaim_causal_experiment_v2.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_causal_experiment_v3.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_cohort_v11.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_cohort_v12.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_cohort_v13.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_cohort_v14.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_cohort_v15.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v1.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v10.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v11.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v12.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v13.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v14.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v15.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v2.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v3.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v4.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v5.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v6_1.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_decisions_v9.csv,transaction_id,10000,10000,10000,1.0,0,0.0
