file,terms
D:\RECLAIM\evaluation\baseline_comparison.py,"transaction_id, transaction, random_seed, np.random, recovered_amount"
D:\RECLAIM\evaluation\validate_transactions.py,"transaction_id, transaction"
D:\RECLAIM\simulator\causal_experiment_v2_audit.py,"transaction_id, causal_experiment, transaction, recovered_amount"
D:\RECLAIM\simulator\causal_experiment_v3_heterogeneous.py,"causal_experiment, np.random, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_diagnostic.py,"transaction_id, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer.py,"transaction_id, transaction, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v10.1.py,"transaction_id, experiment_transaction_id, causal_experiment, transaction, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v10.py,"transaction_id, experiment_transaction_id, causal_experiment, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v10_2.py,"transaction_id, experiment_transaction_id, causal_experiment, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v2.py,"transaction_id, causal_experiment, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v3.py,"transaction_id, experiment_transaction_id, causal_experiment, transaction, random_seed, np.random, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v4.py,"transaction_id, causal_experiment, transaction, random_seed, np.random, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v5.py,"transaction_id, experiment_transaction_id, causal_experiment, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v6.py,"transaction_id, causal_experiment, transaction, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v7.py,"transaction_id, causal_experiment, transaction, np.random, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_optimizer_v8.py,"transaction_id, experiment_transaction_id, causal_experiment, transaction, random_seed"
D:\RECLAIM\simulator\causal_uplift_optimizer_v9.py,"transaction_id, causal_experiment, transaction, np.random, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_stability_validator.py,"transaction_id, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_stability_validator_v2.py,"transaction_id, experiment_transaction_id, causal_experiment, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\causal_uplift_validator.py,"transaction_id, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\cost_constrained_policy_optimizer.py,"transaction_id, recovery_outcomes, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\customer_generator.py,np.random
D:\RECLAIM\simulator\data_treatment_control_audit.py,"transaction_id, recovery_outcomes, transaction, recovered_amount"
D:\RECLAIM\simulator\economic_baseline_comparison.py,"transaction_id, recovery_outcomes, transaction, recovered_amount"
D:\RECLAIM\simulator\economic_optimizer.py,"transaction_id, transaction"
D:\RECLAIM\simulator\economic_policy_optimizer.py,"transaction_id, recovery_outcomes, transaction, random_seed, recovered_amount"
D:\RECLAIM\simulator\failure_model.py,"transaction, np.random"
D:\RECLAIM\simulator\improved_treatment_control_experiment.py,"transaction_id, recovery_outcomes, experiment_transaction_id, causal_experiment, transaction, random_seed, np.random, recovered_amount"
D:\RECLAIM\simulator\incremental_recovery_optimizer.py,"transaction_id, recovery_outcomes, transaction, recovered_amount"
D:\RECLAIM\simulator\reclaim_production_pipeline_v1.py,transaction
D:\RECLAIM\simulator\reclaim_production_pipeline_v10.py,"transaction_id, recovery_outcomes, transaction, recovered_amount"
D:\RECLAIM\simulator\reclaim_production_pipeline_v11.py,"transaction_id, recovery_outcomes, transaction, recovered_amount"
D:\RECLAIM\simulator\reclaim_production_pipeline_v12.py,"transaction_id, recovery_outcomes, transaction, recovered_amount"
D:\RECLAIM\simulator\reclaim_production_pipeline_v13.py,"transaction_id, recovery_outcomes, transaction, recovered_amount"
D:\RECLAIM\simulator\reclaim_production_pipeline_v14.py,"transaction_id, recovery_outcomes, transaction, recovered_amount"
D:\RECLAIM\simulator\reclaim_production_pipeline_v15.py,"transaction_id, recovery_outcomes, transaction, recovered_amount"
D:\RECLAIM\simulator\reclaim_production_pipeline_v16.py,"transaction_id, recovery_outcomes, experiment_transaction_id, transaction"
D:\RECLAIM\simulator\reclaim_production_pipeline_v17.py,"transaction_id, recovery_outcomes, experiment_transaction_id, causal_experiment, transaction, uuid, random_seed, np.random, recovered_amount"
D:\RECLAIM\simulator\reclaim_production_pipeline_v2.py,transaction
D:\RECLAIM\simulator\reclaim_production_pipeline_v3.py,transaction
D:\RECLAIM\simulator\reclaim_production_pipeline_v4.py,transaction
D:\RECLAIM\simulator\reclaim_production_pipeline_v5.py,"transaction_id, transaction"
D:\RECLAIM\simulator\reclaim_production_pipeline_v5_1.py,"transaction_id, transaction"
D:\RECLAIM\simulator\reclaim_production_pipeline_v5_2.py,"transaction_id, transaction"
