dataset,field,shared_with_production,shared_with_outcomes,classification
D:\RECLAIM\data\generated\causal_uplift_v10_1_predictions.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v10_predictions.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v8_predictions.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_causal_experiment_v2.csv,experiment_transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_causal_experiment_v2.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_causal_experiment_v3.csv,experiment_transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_causal_experiment_v3.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_cohort_v11.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_cohort_v12.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_cohort_v13.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_cohort_v14.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_cohort_v15.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v1.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v10.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v11.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v12.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v13.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v14.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v15.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v2.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v3.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v4.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v5.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v6_1.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_decisions_v9.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_financial_reconciliation_v6_1.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_linkage_v10.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v11.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v12.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v14.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v15.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_production_validated_outcomes_v15.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_recovery_calibration_integration_v2.csv,transaction_id,10000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v7_predictions.csv,transaction_id,9995,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v5_predictions.csv,transaction_id,9991,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v6_predictions.csv,transaction_id,9989,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v3_predictions.csv,experiment_transaction_id,9726,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v2_predictions.csv,experiment_transaction_id,3000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v2_predictions.csv,transaction_id,3000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v4_predictions.csv,experiment_transaction_id,3000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v4_predictions.csv,transaction_id,3000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v9_predictions.csv,transaction_id,3000,0,PRODUCTION_SIDE_ID_FIELD
D:\RECLAIM\data\generated\economic_opportunities.csv,transaction_id,0,2904,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\recovery_context.csv,transaction_id,0,2904,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\recovery_opportunities.csv,transaction_id,0,2904,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\transaction_outcomes.csv,transaction_id,0,2904,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\transactions.csv,transaction_id,0,2904,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\calibrated_recovery_predictions.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_diagnostic.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_predictions.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\cost_constrained_final_policy.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\economic_final_policy.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\incremental_recovery_policy.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_causal_experiment_v2.csv,experiment_source_transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_causal_experiment_v3.csv,experiment_source_transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\reclaim_treatment_control_experiment.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\recovery_final_policy.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\recovery_model_predictions.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\value_of_information_policy.csv,transaction_id,0,581,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v2_predictions.csv,experiment_source_transaction_id,0,577,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_v4_predictions.csv,experiment_source_transaction_id,0,576,OUTCOME_SIDE_ID_FIELD
D:\RECLAIM\data\generated\causal_uplift_validation_predictions.csv,transaction_id,0,175,OUTCOME_SIDE_ID_FIELD
