transaction_id,customer_id,predicted_treatment_probability,predicted_control_probability,predicted_probability_uplift,selected_policy_type,selected_policy_parameter,selected_policy,intervention_selected,monitoring_missing_required_field,monitoring_duplicate_transaction_id,monitoring_positive_uplift,monitoring_selected,monitoring_status,monitoring_version,source_version,outcome_evaluated
RECLAIM-V2-000001,C00233,0.3775376599237234,0.6199174949348517,-0.2423798350111282,TOP_RATE,0.05,RETRY_ALL,0,False,False,False,0,PASS,V21,V10.2,False
RECLAIM-V2-000002,C00512,0.3155948315073909,0.5420153936560523,-0.2264205621486614,TOP_RATE,0.05,RETRY_ALL,0,False,False,False,0,PASS,V21,V10.2,False
RECLAIM-V2-000003,C00329,0.6747169433359158,0.7489347988148347,-0.0742178554789189,TOP_RATE,0.05,RETRY_ALL,0,False,False,False,0,PASS,V21,V10.2,False
RECLAIM-V2-000004,C00565,0.4597646094672554,0.3077670740346339,0.1519975354326215,TOP_RATE,0.05,RETRY_ALL,0,False,False,True,0,PASS,V21,V10.2,False
RECLAIM-V2-000005,C00708,0.5016674577352037,0.6040342654537666,-0.1023668077185628,TOP_RATE,0.05,RETRY_ALL,0,False,False,False,0,PASS,V21,V10.2,False
RECLAIM-V2-000006,C00969,0.3609695113772536,0.4070518630931873,-0.0460823517159336,TOP_RATE,0.05,RETRY_ALL,0,False,False,False,0,PASS,V21,V10.2,False
RECLAIM-V2-000007,C00734,0.498514379601686,0.6552197388240836,-0.1567053592223976,TOP_RATE,0.05,RETRY_ALL,0,False,False,False,0,PASS,V21,V10.2,False
RECLAIM-V2-000008,C00094,0.4727852597638859,0.338790531861856,0.1339947279020299,TOP_RATE,0.05,RETRY_ALL,0,False,False,True,0,PASS,V21,V10.2,False
RECLAIM-V2-000009,C00360,0.760516022290845,0.5443028294936391,0.2162131927972059,TOP_RATE,0.05,RETRY_ALL,0,False,False,True,0,PASS,V21,V10.2,False
RECLAIM-V2-000010,C00819,0.66419917618138,0.3610545617922387,0.3031446143891413,TOP_RATE,0.05,TARGET,1,False,False,True,1,PASS,V21,V10.2,False
RECLAIM-V2-000011,C00691,0.3118626411845091,0.3144447342953022,-0.002582093110793,TOP_RATE,0.05,RETRY_ALL,0,False,False,False,0,PASS,V21,V10.2,False
RECLAIM-V2-000012,C00586,0.603862066797945,0.5122944941839498,0.0915675726139951,TOP_RATE,0.05,RETRY_ALL,0,False,False,True,0,PASS,V21,V10.2,False
RECLAIM-V2-000013,C00451,0.5661413565808765,0.458949117188078,0.1071922393927984,TOP_RATE,0.05,RETRY_ALL,0,False,False,True,0,PASS,V21,V10.2,False
RECLAIM-V2-000014,C00598,0.4942386522230454,0.3270546546926242,0.1671839975304212,TOP_RATE,0.05,RETRY_ALL,0,False,False,True,0,PASS,V21,V10.2,False
RECLAIM-V2-000015,C00625,0.3907672323147766,0.4753817076841061,-0.0846144753693295,TOP_RATE,0.05,RETRY_ALL,0,False,False,False,0,PASS,V21,V10.2,False
RECLAIM-V2-000016,C00512,0.3057128135271554,0.5380022323961485,-0.232289418868993,TOP_RATE,0.05,RETRY_ALL,0,False,False,False,0,PASS,V21,V10.2,False
RECLAIM-V2-000017,C00469,0.6484132316792574,0.6278233458426314,0.0205898858366259,TOP_RATE,0.05,RETRY_ALL,0,False,False,True,0,PASS,V21,V10.2,False
