fields,field_count,source_unique_keys,target_unique_keys,shared_keys,deterministic_matches,ambiguous_matches,source_coverage,target_coverage,source_unique_rows,target_unique_rows,dataset,dataset_rows,direct_transaction_overlap
customer_id + timestamp,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
customer_id + amount,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
customer_id + historical_transaction_count,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
customer_id + hours_since_previous_transaction,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
customer_id + avg_amount_last_7d,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
timestamp + amount,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
timestamp + hours_since_previous_transaction,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
timestamp + avg_amount_last_7d,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
amount + historical_transaction_count,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
amount + historical_success_count,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
amount + historical_success_rate,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
amount + hours_since_previous_transaction,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
amount + avg_amount_last_7d,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,economic_opportunities.csv,2904,2904
customer_id + timestamp,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,recovery_context.csv,2904,2904
customer_id + amount,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,recovery_context.csv,2904,2904
customer_id + historical_transaction_count,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,recovery_context.csv,2904,2904
timestamp + amount,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,recovery_context.csv,2904,2904
amount + historical_transaction_count,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,recovery_context.csv,2904,2904
amount + historical_success_count,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,recovery_context.csv,2904,2904
amount + historical_success_rate,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,recovery_context.csv,2904,2904
customer_id + timestamp,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,recovery_opportunities.csv,2904,2904
customer_id + amount,2,2904,2904,2904,2904,0,1.0,1.0,2904,2904,recovery_opportunities.csv,2904,2904
