transaction_id,amount,failure_reason,treatment,control,treatment_group,recovery_probability,confidence,control_recovery_probability,treatment_recovery_probability,incremental_recovery_probability,observed_recovery_probability,recovered,recovery_flag,recovered_amount,intervention_cost,customer_friction_cost,net_recovered_value,expected_control_recovery,expected_treatment_recovery,expected_incremental_recovery,expected_incremental_net_value,treatment_effect,calibrated_probability,recommended_policy,policy_threshold,expected_recovery,expected_intervention_cost,expected_friction_cost,expected_net_recovery,recovery_status
T0022306,26703.03,LIMIT_EXCEEDED,0,1,CONTROL,0.5616687243091443,0.3134906286773715,0.5616687243091443,0.601117397248806,0.0394486729396617,0.5616687243091443,1,1,25286.119035235184,0.0,0.0,25286.119035235184,12748.518275995488,13643.907508418266,895.3892324227782,893.6392324227782,0.039448672939661665,0.5616687243091443,INTERVENE,0.475,14998.256795288808,1.5,0.25,14996.506795288808,RECOVERED
T0026878,12853.93,PAYMENT_TIMEOUT,1,0,RECLAIM,0.7628484131990617,0.3198559877560609,0.7628484131990617,0.7955422381861172,0.03269382498705553,0.7955422381861172,1,1,9645.592344268167,1.5,0.25,9643.842344268167,8334.760088291043,8691.967605434527,357.20751714348444,355.45751714348444,0.03269382498705558,0.7628484131990617,INTERVENE,0.475,9805.600103871817,1.5,0.25,9803.850103871817,RECOVERED
T0000835,9567.33,PAYMENT_TIMEOUT,0,1,CONTROL,0.779541107046033,0.3849742988934128,0.779541107046033,0.8145810117496254,0.03503990470359242,0.779541107046033,1,1,7118.659144820659,0.0,0.0,7118.659144820659,6339.407966723514,6624.360548471162,284.95258174764786,283.20258174764786,0.03503990470359242,0.779541107046033,INTERVENE,0.475,7458.127019674723,1.5,0.25,7456.377019674723,RECOVERED
T0038230,11837.46,NETWORK_ERROR,0,1,CONTROL,0.6902532745440629,0.0672831089128134,0.6902532745440629,0.7141221498360973,0.02386887529203441,0.6902532745440629,0,0,0.0,0.0,0.0,0.0,6945.2186981917075,7185.383526228987,240.16482803727922,238.41482803727922,0.023868875292034398,0.6902532745440629,INTERVENE,0.475,8170.845527284363,1.5,0.25,8169.095527284363,NOT_RECOVERED
T0032751,13412.25,INSUFFICIENT_FUNDS,1,0,RECLAIM,0.641923788835134,0.0824345359093956,0.641923788835134,0.6681660103418271,0.026242221506693086,0.6681660103418271,1,1,12700.560914940947,1.5,0.25,12698.810914940947,7318.195986283423,7617.368136376095,299.1721500926724,297.4221500926724,0.026242221506693107,0.641923788835134,INTERVENE,0.475,8609.642336804027,1.5,0.25,8607.892336804027,RECOVERED
T0007170,10058.29,PAYMENT_TIMEOUT,0,1,CONTROL,0.7270749160834712,0.1901293437699847,0.7270749160834712,0.755183114490199,0.028108198406727847,0.7270749160834712,1,1,8667.052773459223,0.0,0.0,8667.052773459223,6216.160804039235,6456.473153348781,240.31234930954633,238.56234930954633,0.028108198406727816,0.7270749160834712,INTERVENE,0.475,7313.130357693218,1.5,0.25,7311.380357693218,RECOVERED
T0019894,11801.87,BANK_DECLINE,0,1,CONTROL,0.6252122991668976,0.1319726762430135,0.6252122991668976,0.6542686391269917,0.029056339960094157,0.6252122991668976,1,1,11161.736143832974,0.0,0.0,11161.736143832974,6271.873135593509,6563.35441044562,291.4812748521108,289.7312748521108,0.0290563399600942,0.6252122991668976,INTERVENE,0.475,7378.674277168834,1.5,0.25,7376.924277168834,RECOVERED
T0014488,9490.22,NETWORK_ERROR,0,1,CONTROL,0.6927196381506652,0.0752383828954821,0.6927196381506652,0.7168601780456886,0.024140539895023405,0.6927196381506652,1,1,6907.236674328646,0.0,0.0,6907.236674328646,5587.952499714674,5782.686679058841,194.7341793441674,192.9841793441674,0.024140539895023412,0.6927196381506652,INTERVENE,0.475,6574.061764370205,1.5,0.25,6572.311764370205,RECOVERED
T0041621,8270.53,PAYMENT_TIMEOUT,1,0,RECLAIM,0.7381597561723476,0.2290715899895408,0.7381597561723476,0.7676323862558448,0.02947263008349721,0.7676323862558448,1,1,6768.142368567402,1.5,0.25,6766.392368567402,5189.226546983673,5396.4176775754695,207.19113059179654,205.44113059179654,0.029472630083497174,0.7381597561723476,INTERVENE,0.475,6104.972408216087,1.5,0.25,6103.222408216087,RECOVERED
T0038663,20646.44,BANK_DECLINE,1,0,RECLAIM,0.491254568944686,0.5081708225236727,0.491254568944686,0.5419283460451872,0.05067377710050125,0.5419283460451872,0,0,0.0,1.5,0.25,-1.75,8621.259285075974,9510.557418783015,889.2981337070414,887.5481337070414,0.05067377710050126,0.491254568944686,INTERVENE,0.475,10142.657982442322,1.5,0.25,10140.907982442322,NOT_RECOVERED
T0012356,10751.67,BANK_DECLINE,1,0,RECLAIM,0.6302343473349639,0.1171847939135019,0.6302343473349639,0.6584494609043477,0.028215113569383887,0.6584494609043477,1,1,8356.580552251402,1.5,0.25,8354.830552251402,5759.660966429275,6017.516618023231,257.8556515939563,256.1056515939563,0.028215113569383853,0.6302343473349639,INTERVENE,0.475,6776.071725210911,1.5,0.25,6774.321725210911,RECOVERED
T0039243,10270.54,BANK_DECLINE,0,1,CONTROL,0.6389831780173019,0.0912217439158943,0.6389831780173019,0.6657237452629116,0.026740567245609692,0.6389831780173019,1,1,9507.425262653915,0.0,0.0,9507.425262653915,5578.296945780747,5811.7410014716625,233.44405569091577,231.69405569091577,0.026740567245609675,0.6389831780173019,INTERVENE,0.475,6562.70228915382,1.5,0.25,6560.95228915382,RECOVERED
T0031286,9521.22,BANK_DECLINE,0,1,CONTROL,0.6287335764479859,0.1216124856249022,0.6287335764479859,0.657200463125427,0.028466886677441128,0.6287335764479859,1,1,8104.972623509371,0.0,0.0,8104.972623509371,5088.364097335878,5318.747664491216,230.38356715533791,228.63356715533791,0.028466886677441093,0.6287335764479859,INTERVENE,0.475,5986.310702748092,1.5,0.25,5984.560702748092,RECOVERED
T0011868,10458.95,BANK_DECLINE,0,1,CONTROL,0.5981609765876297,0.2103637059745792,0.5981609765876297,0.6316917091759187,0.03353073258828898,0.5981609765876297,1,1,9675.363336395352,0.0,0.0,9675.363336395352,5317.7153841690115,5615.8072014326535,298.09181726364204,296.34181726364204,0.03353073258828902,0.5981609765876297,INTERVENE,0.475,6256.13574608119,1.5,0.25,6254.38574608119,RECOVERED
T0034332,5766.06,PAYMENT_TIMEOUT,1,0,RECLAIM,0.7727617301670119,0.3581227359121448,0.7727617301670119,0.806830592727213,0.03406886256020114,0.806830592727213,1,1,4840.05320179909,1.5,0.25,4838.30320179909,3787.42192656978,3954.3985663755725,166.97663980579227,165.22663980579227,0.034068862560201106,0.7727617301670119,INTERVENE,0.475,4455.790501846801,1.5,0.25,4454.040501846801,RECOVERED
T0014941,5939.97,PAYMENT_TIMEOUT,1,0,RECLAIM,0.7576086517576865,0.3000754720746486,0.7576086517576865,0.7895957451895267,0.03198709343184014,0.7895957451895267,1,1,4813.581223136217,1.5,0.25,4811.831223136217,3825.1467637039395,3986.648782770418,161.50201906647862,159.75201906647862,0.03198709343184016,0.7576086517576865,INTERVENE,0.475,4500.172663181105,1.5,0.25,4498.422663181105,RECOVERED
T0014445,9629.4,LIMIT_EXCEEDED,0,1,CONTROL,0.5981611344427697,0.210363254074124,0.5981611344427697,0.6316918411706084,0.033530706727838644,0.5981611344427697,0,0,0.0,0.0,0.0,0.0,4895.942903802726,5170.391403063018,274.448499260292,272.698499260292,0.033530706727838644,0.5981611344427697,INTERVENE,0.475,5759.932828003207,1.5,0.25,5758.182828003207,NOT_RECOVERED
T0033473,6449.65,INSUFFICIENT_FUNDS,1,0,RECLAIM,0.7024991940002688,0.1071406321405179,0.7024991940002688,0.7277330506565828,0.025233856656313947,0.7277330506565828,0,0,0.0,1.5,0.25,-1.75,3851.2428375962586,3989.579949642144,138.33711204588553,136.58711204588553,0.025233856656313898,0.7024991940002688,INTERVENE,0.475,4530.873926583834,1.5,0.25,4529.123926583834,NOT_RECOVERED
