transaction_id,customer_id,timestamp,amount,payment_method,status,failure_reason,historical_transaction_count,historical_success_count,historical_failure_count,historical_success_rate,hours_since_previous_transaction,previous_transaction_success,previous_failure_reason,transactions_last_7d,successful_payments_last_7d,failed_payments_last_7d,avg_amount_last_7d,failure_rate_last_7d,amount_vs_recent_average,payment_momentum,failure_streak,hours_since_last_success,hours_since_last_failure,method_share
T0007402,C00161,2026-01-01 00:45:25,645.98,CARD,FAILED,BANK_DECLINE,0,34.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0000765,C00017,2026-01-01 00:54:31,585.73,WALLET,FAILED,BANK_DECLINE,0,27.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0025763,C00568,2026-01-01 01:02:51,8579.48,UPI,FAILED,BANK_DECLINE,0,44.0,4.0,0.9166666666666666,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0012789,C00280,2026-01-01 01:07:17,9095.57,NETBANKING,FAILED,LIMIT_EXCEEDED,0,48.0,5.0,0.9056603773584906,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0027386,C00599,2026-01-01 01:18:31,1471.99,WALLET,FAILED,NETWORK_ERROR,0,37.0,4.0,0.9024390243902439,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0044921,C00980,2026-01-01 02:04:48,2588.01,CARD,FAILED,NETWORK_ERROR,0,50.0,5.0,0.9090909090909091,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0044563,C00972,2026-01-01 02:40:24,3199.78,CARD,FAILED,NETWORK_ERROR,0,44.0,4.0,0.9166666666666666,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0014516,C00320,2026-01-01 02:42:13,820.05,NETBANKING,FAILED,BANK_DECLINE,0,33.0,2.0,0.9428571428571428,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0031375,C00681,2026-01-01 02:47:17,700.49,UPI,FAILED,LIMIT_EXCEEDED,1,1.0,0.0,1.0,1.7338888888888888,1,NONE,1.0,1.0,0.0,1951.09,0.0,0.3590249552814068,1.0,1,1.7338888888888888,-1.0,1.0
T0007096,C00155,2026-01-01 02:53:30,711.69,UPI,FAILED,INSUFFICIENT_FUNDS,0,42.0,1.0,0.9767441860465116,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0006231,C00137,2026-01-01 03:19:30,935.21,CARD,FAILED,LIMIT_EXCEEDED,1,1.0,0.0,1.0,3.1319444444444446,1,NONE,1.0,1.0,0.0,4538.59,0.0,0.206057387867157,1.0,1,3.1319444444444446,-1.0,1.0
T0035144,C00764,2026-01-01 03:27:09,1168.35,UPI,FAILED,NETWORK_ERROR,0,28.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0038258,C00833,2026-01-01 03:30:00,3616.84,UPI,FAILED,NETWORK_ERROR,0,27.0,1.0,0.9642857142857143,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0010150,C00221,2026-01-01 04:16:34,1710.16,UPI,FAILED,BANK_DECLINE,0,61.0,9.0,0.8714285714285714,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0021507,C00474,2026-01-01 04:48:52,1720.56,UPI,FAILED,BANK_DECLINE,0,36.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0035342,C00769,2026-01-01 04:49:00,7632.2,UPI,FAILED,LIMIT_EXCEEDED,0,36.0,3.0,0.9230769230769231,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0010987,C00238,2026-01-01 05:01:03,2864.37,NETBANKING,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,1.121388888888889,1,NONE,1.0,1.0,0.0,1115.54,0.0,2.567698155153558,1.0,1,1.121388888888889,-1.0,1.0
T0004599,C00101,2026-01-01 05:12:55,1193.17,UPI,FAILED,NETWORK_ERROR,0,49.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0032244,C00700,2026-01-01 05:37:32,3314.42,NETBANKING,FAILED,NETWORK_ERROR,0,61.0,3.0,0.953125,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0031865,C00692,2026-01-01 05:48:19,1944.17,NETBANKING,FAILED,INSUFFICIENT_FUNDS,0,13.0,2.0,0.8666666666666667,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0036004,C00782,2026-01-01 06:00:55,2930.72,NETBANKING,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,0.2011111111111111,1,NONE,1.0,1.0,0.0,1063.18,0.0,2.7565605071577717,1.0,1,0.2011111111111111,-1.0,1.0
