transaction_id,amount,recovery_probability,confidence,expected_recovery,best_expected_net,recommended_action,actual_recovered,recovered_amount,policy,expected_net_recovery
T0022306,26703.03,0.3432546856613142,0.3134906286773715,9165.940168854642,9164.740168854642,DELAYED_RETRY,1,26703.03,RECLAIM,9164.740168854642
T0026878,12853.93,0.6599279938780305,0.3198559877560609,8482.668238348633,8481.468238348632,DELAYED_RETRY,1,12853.93,RECLAIM,8481.468238348632
T0000835,9567.33,0.6924871494467064,0.3849742988934128,6625.253079515957,6624.0530795159575,DELAYED_RETRY,1,9567.33,RECLAIM,6624.0530795159575
T0038230,11837.46,0.5336415544564067,0.0672831089128134,6316.960555215535,6315.7605552155355,NO_ACTION,1,11837.46,RECLAIM,6315.7605552155355
T0032751,13412.25,0.4587827320453022,0.0824345359093956,6153.308697874604,6152.108697874604,NO_ACTION,1,13412.25,RECLAIM,6152.108697874604
T0007170,10058.29,0.5950646718849923,0.1901293437699847,5985.3330385741,5984.1330385741,DELAYED_RETRY,0,0.0,RECLAIM,5984.1330385741
T0019894,11801.87,0.4340136618784932,0.1319726762430135,5122.172815713933,5120.972815713933,DELAYED_RETRY,1,11801.87,RECLAIM,5120.972815713933
T0014488,9490.22,0.5376191914477411,0.0752383828954821,5102.124403061181,5100.924403061181,NO_ACTION,0,0.0,RECLAIM,5100.924403061181
T0041621,8270.53,0.6145357949947704,0.2290715899895408,5082.5367285780985,5081.336728578099,DELAYED_RETRY,1,8270.53,RECLAIM,5081.336728578099
T0038663,20646.44,0.2459145887381636,0.5081708225236727,5077.26080150717,5076.06080150717,RETRY_NOW,0,0.0,RECLAIM,5076.06080150717
T0012356,10751.67,0.441407603043249,0.1171847939135019,4745.868883412009,4744.66888341201,DELAYED_RETRY,1,10751.67,RECLAIM,4744.66888341201
T0039243,10270.54,0.4543891280420528,0.0912217439158943,4666.821715121026,4665.621715121026,NO_ACTION,1,10270.54,RECLAIM,4665.621715121026
T0031286,9521.22,0.4391937571875489,0.1216124856249022,4181.660384809234,4180.460384809234,DELAYED_RETRY,0,0.0,RECLAIM,4180.460384809234
T0011868,10458.95,0.3948181470127104,0.2103637059745792,4129.383258698587,4128.183258698587,DELAYED_RETRY,1,10458.95,RECLAIM,4128.183258698587
T0034332,5766.06,0.6790613679560724,0.3581227359121448,3915.5085913167914,3914.3085913167915,DELAYED_RETRY,1,5766.06,RECLAIM,3914.3085913167915
T0014941,5939.97,0.6500377360373243,0.3000754720746486,3861.204650929625,3860.0046509296253,DELAYED_RETRY,1,5939.97,RECLAIM,3860.0046509296253
T0014445,9629.4,0.394818372962938,0.210363254074124,3801.864040609315,3800.664040609315,DELAYED_RETRY,0,0.0,RECLAIM,3800.664040609315
T0033473,6449.65,0.553570316070259,0.1071406321405179,3570.3347890425457,3569.134789042546,DELAYED_RETRY,1,6449.65,RECLAIM,3569.134789042546
T0034060,10016.59,0.3441637606847962,0.3116724786304076,3447.3472836377227,3446.147283637723,DELAYED_RETRY,1,10016.59,RECLAIM,3446.147283637723
T0018044,5641.17,0.5745428075978803,0.1490856151957607,3241.0936499369345,3239.8936499369347,DELAYED_RETRY,1,5641.17,RECLAIM,3239.8936499369347
T0022168,6466.34,0.5011056884215934,0.0022113768431868,3240.3197572680865,3239.1197572680867,NO_ACTION,1,6466.34,RECLAIM,3239.1197572680867
T0038652,8636.8,0.3746778133938617,0.2506443732122766,3236.0173387201044,3234.8173387201045,DELAYED_RETRY,0,0.0,RECLAIM,3234.8173387201045
T0034611,5469.4,0.5907946489374517,0.1815892978749034,3231.292252898498,3230.0922528984984,DELAYED_RETRY,1,5469.4,RECLAIM,3230.0922528984984
T0017466,5768.13,0.5437852483931201,0.0875704967862402,3136.6240048138084,3135.4240048138086,NO_ACTION,0,0.0,RECLAIM,3135.4240048138086
T0007949,4973.81,0.6230417119144172,0.2460834238288343,3098.8910971370474,3097.6910971370476,DELAYED_RETRY,1,4973.81,RECLAIM,3097.6910971370476
T0023546,9465.34,0.3234810233299963,0.3530379533400074,3061.857869366347,3060.6578693663473,DELAYED_RETRY,1,9465.34,RECLAIM,3060.6578693663473
