transaction_id,customer_id,timestamp,amount,payment_method,status,failure_reason,historical_transaction_count,historical_success_count,historical_failure_count,historical_success_rate,hours_since_previous_transaction,previous_transaction_success,previous_failure_reason,transactions_last_7d,successful_payments_last_7d,failed_payments_last_7d,avg_amount_last_7d,failure_rate_last_7d,amount_vs_recent_average,payment_momentum,failure_streak,hours_since_last_success,hours_since_last_failure,method_share,recoverability_score,model_confidence,base_recovery_probability,recommended_action,action_recovery_probability,expected_recovery,intervention_cost,expected_net_recovery,decision_reason,priority,opportunity_rank,actual_recovery_probability,recovered,recovered_amount,customer_friction_cost,net_recovered_value,recovery_status
T0007402,C00161,2026-01-01 00:45:25,645.98,CARD,FAILED,BANK_DECLINE,0,34.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,70.0,10.0,0.65,RETRY_NOW,0.468,302.32,1.5,300.82,strong historical payment reliability; low recent failure rate,MEDIUM,2572,0.519,0,0.0,0.25,0.0,NOT_RECOVERED
T0000765,C00017,2026-01-01 00:54:31,585.73,WALLET,FAILED,BANK_DECLINE,0,27.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,70.0,10.0,0.65,RETRY_NOW,0.468,274.12,1.5,272.62,strong historical payment reliability; low recent failure rate,MEDIUM,2634,0.519,1,585.73,0.25,583.98,RECOVERED
T0025763,C00568,2026-01-01 01:02:51,8579.48,UPI,FAILED,BANK_DECLINE,0,44.0,4.0,0.9166666666666666,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.5,10.0,0.6258,RETRY_NOW,0.4506,3865.71,1.5,3864.21,strong historical payment reliability; low recent failure rate,HIGH,128,0.48353499999999994,0,0.0,0.25,0.0,NOT_RECOVERED
T0012789,C00280,2026-01-01 01:07:17,9095.57,NETBANKING,FAILED,LIMIT_EXCEEDED,0,48.0,5.0,0.9056603773584906,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.17,10.0,0.6226,RETRY_NOW,0.4483,4077.29,1.5,4075.79,strong historical payment reliability; low recent failure rate,HIGH,106,0.44653584905660376,0,0.0,0.25,0.0,NOT_RECOVERED
T0027386,C00599,2026-01-01 01:18:31,1471.99,WALLET,FAILED,NETWORK_ERROR,0,37.0,4.0,0.902439024390244,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.07,10.0,0.6217,RETRY_NOW,0.5013,737.97,1.5,736.47,strong historical payment reliability; low recent failure rate,MEDIUM,1713,0.6361336585365852,1,1471.99,0.25,1470.24,RECOVERED
T0044921,C00980,2026-01-01 02:04:48,2588.01,CARD,FAILED,NETWORK_ERROR,0,50.0,5.0,0.9090909090909092,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.27,10.0,0.6236,RETRY_NOW,0.5029,1301.44,1.5,1299.94,strong historical payment reliability; low recent failure rate,HIGH,983,0.6375836363636362,0,0.0,0.25,0.0,NOT_RECOVERED
T0044563,C00972,2026-01-01 02:40:24,3199.78,CARD,FAILED,NETWORK_ERROR,0,44.0,4.0,0.9166666666666666,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.5,10.0,0.6258,RETRY_NOW,0.5046,1614.75,1.5,1613.25,strong historical payment reliability; low recent failure rate,HIGH,735,0.6392349999999999,0,0.0,0.25,0.0,NOT_RECOVERED
T0014516,C00320,2026-01-01 02:42:13,820.05,NETBANKING,FAILED,BANK_DECLINE,0,33.0,2.0,0.9428571428571428,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,68.29,10.0,0.6335,RETRY_NOW,0.4561,374.04,1.5,372.54,strong historical payment reliability; low recent failure rate,MEDIUM,2422,0.506544,0,0.0,0.25,0.0,NOT_RECOVERED
T0031375,C00681,2026-01-01 02:47:17,700.49,UPI,FAILED,LIMIT_EXCEEDED,1,1.0,0.0,1.0,1.7338888888888888,1,NONE,1.0,1.0,0.0,1951.09,0.0,0.3590249552814068,1.0,1,1.7338888888888888,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5283,370.09,1.5,368.59,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,2437,0.5730879,1,700.49,0.25,698.74,RECOVERED
T0007096,C00155,2026-01-01 02:53:30,711.69,UPI,FAILED,INSUFFICIENT_FUNDS,0,42.0,1.0,0.9767441860465116,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,69.3,10.0,0.6432,DELAYED_RETRY,0.4882,347.44,1.0,346.44,strong historical payment reliability; low recent failure rate,MEDIUM,2489,0.6181531395348837,1,711.69,0.15,710.54,RECOVERED
