policy,action,interventions,intervention_rate,recovered_payments,recovered_value,recovery_rate_value,recovery_rate_count,intervention_cost,friction_cost,net_recovered_value,net_per_intervention
RETRY_ALL,RETRY_NOW,581,1.0,388,866564.8099999999,0.6693532230407717,0.6678141135972461,871.5,145.25,865548.0599999999,1489.7556970740102
TOP_5,RETRY_NOW,29,0.04991394148020654,22,199923.72999999998,0.15442537187476263,0.7586206896551724,43.5,7.25,199872.97999999998,6892.17172413793
TOP_10,RETRY_NOW,58,0.09982788296041308,42,296837.73,0.22928382159391675,0.7241379310344828,87.0,14.5,296736.23,5116.141896551724
TOP_20,RETRY_NOW,116,0.19965576592082615,83,448345.13,0.3463113829883466,0.7155172413793104,174.0,29.0,448142.13,3863.294224137931
TOP_30,RETRY_NOW,174,0.29948364888123924,120,552342.36,0.42664107129845974,0.6896551724137931,261.0,43.5,552037.86,3172.6313793103445
TOP_40,RETRY_NOW,232,0.3993115318416523,153,623441.4099999999,0.4815595006224441,0.6594827586206896,348.0,58.0,623035.4099999999,2685.4974568965513
TOP_50,RETRY_NOW,290,0.4991394148020654,193,693496.6699999999,0.5356716841900636,0.6655172413793103,435.0,72.5,692989.1699999999,2389.6178275862067
PROBABILITY_0.40,RETRY_NOW,320,0.5507745266781411,224,474945.73000000004,0.36685825627393315,0.7,480.0,80.0,474385.73000000004,1482.4554062500001
PROBABILITY_0.50,RETRY_NOW,199,0.342512908777969,156,323075.9,0.2495507461834252,0.7839195979899497,298.5,49.75,322727.65,1621.7469849246231
PROBABILITY_0.60,RETRY_NOW,99,0.1703958691910499,79,175987.81999999998,0.13593676222891993,0.797979797979798,148.5,24.75,175814.56999999998,1775.9047474747472
PROBABILITY_0.70,RETRY_NOW,1,0.0017211703958691911,1,450.44,0.00034792950545324504,1.0,1.5,0.25,448.69,448.69
PROBABILITY_0.80,RETRY_NOW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONFIDENCE_0.20,RETRY_NOW,99,0.1703958691910499,79,175987.81999999998,0.13593676222891993,0.797979797979798,148.5,24.75,175814.56999999998,1775.9047474747472
CONFIDENCE_0.30,RETRY_NOW,23,0.039586919104991396,19,63149.680000000015,0.048778165642329015,0.8260869565217391,34.5,5.75,63109.430000000015,2743.888260869566
CONFIDENCE_0.40,RETRY_NOW,1,0.0017211703958691911,1,450.44,0.00034792950545324504,1.0,1.5,0.25,448.69,448.69
CONFIDENCE_0.50,RETRY_NOW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONFIDENCE_0.60,RETRY_NOW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RECLAIM,MIXED,290,0.4991394148020654,195,564711.52,0.43619527545810827,0.6724137931034483,291.5,58.150000000000006,564361.87,1946.0754137931035
