transaction_id,customer_id,timestamp,amount,payment_method,status,failure_reason,_simulated_failure_probability
T0037820,C00823,2026-01-01 00:00:42,1414.47,CARD,SUCCESS,,0.04930538985468216
T0004800,C00107,2026-01-01 00:01:04,876.5,WALLET,SUCCESS,,0.05654639473084355
T0028717,C00628,2026-01-01 00:01:08,1457.01,UPI,SUCCESS,,0.04202449218378405
T0012925,C00284,2026-01-01 00:01:22,2597.88,UPI,SUCCESS,,0.05284032335990991
T0013921,C00305,2026-01-01 00:02:06,2103.39,UPI,SUCCESS,,0.052630301861524516
T0014946,C00329,2026-01-01 00:04:02,432.37,UPI,SUCCESS,,0.05672374618479544
T0029440,C00641,2026-01-01 00:05:13,1022.71,CARD,SUCCESS,,0.059345466271849466
T0039230,C00854,2026-01-01 00:06:11,347.2,CARD,SUCCESS,,0.04987568418139261
T0037134,C00806,2026-01-01 00:08:24,626.93,UPI,SUCCESS,,0.061107768586055156
T0028482,C00623,2026-01-01 00:09:26,527.4,CARD,SUCCESS,,0.05251075291933221
T0020924,C00461,2026-01-01 00:11:03,1826.28,NETBANKING,SUCCESS,,0.09306150629008444
T0006238,C00137,2026-01-01 00:11:35,4538.59,CARD,SUCCESS,,0.06491471282964674
T0022636,C00498,2026-01-01 00:11:43,5803.8,CARD,SUCCESS,,0.06205125090854965
T0003506,C00080,2026-01-01 00:11:51,1229.82,CARD,SUCCESS,,0.0830454693541635
T0032670,C00711,2026-01-01 00:12:18,3329.93,UPI,SUCCESS,,0.05793823576428092
T0030859,C00671,2026-01-01 00:12:23,4699.9,UPI,SUCCESS,,0.0716729985188746
T0015599,C00344,2026-01-01 00:15:40,1604.97,UPI,SUCCESS,,0.04036731059867977
T0009681,C00211,2026-01-01 00:15:47,624.6,UPI,SUCCESS,,0.05577594587286196
T0010896,C00236,2026-01-01 00:16:17,630.09,CARD,SUCCESS,,0.039829664959902686
T0022598,C00497,2026-01-01 00:16:59,4172.87,NETBANKING,SUCCESS,,0.05707539548945926
T0017845,C00392,2026-01-01 00:17:22,3042.87,UPI,SUCCESS,,0.10057037280853566
T0010393,C00226,2026-01-01 00:17:40,1162.19,UPI,SUCCESS,,0.06200269412648431
T0039591,C00862,2026-01-01 00:17:54,2426.71,NETBANKING,SUCCESS,,0.043861958543712186
T0029960,C00652,2026-01-01 00:18:02,6755.13,UPI,SUCCESS,,0.11186140314125069
T0017040,C00374,2026-01-01 00:18:58,1373.75,UPI,SUCCESS,,0.037143789071140645
T0045516,C00992,2026-01-01 00:19:14,1748.6,UPI,SUCCESS,,0.06398826241034716
T0026096,C00574,2026-01-01 00:19:34,1635.57,UPI,SUCCESS,,0.05851529181220917
T0001131,C00025,2026-01-01 00:19:45,655.64,UPI,SUCCESS,,0.0573515841870045
T0033965,C00737,2026-01-01 00:23:15,488.29,UPI,SUCCESS,,0.059066764075852256
T0012899,C00284,2026-01-01 00:24:29,5771.9,UPI,SUCCESS,,0.061336390188816405
T0011475,C00252,2026-01-01 00:26:32,964.56,UPI,SUCCESS,,0.04780562695109263
T0015484,C00342,2026-01-01 00:26:55,1123.55,UPI,SUCCESS,,0.0505959950117031
T0007126,C00156,2026-01-01 00:27:17,3841.85,CARD,SUCCESS,,0.07356556073810609
T0043331,C00945,2026-01-01 00:28:22,2172.9,CARD,SUCCESS,,0.14559825108677
T0001915,C00043,2026-01-01 00:29:59,989.57,NETBANKING,SUCCESS,,0.06450570755395328
T0003969,C00087,2026-01-01 00:30:14,588.03,WALLET,SUCCESS,,0.06800451821704968
T0045009,C00982,2026-01-01 00:32:56,3983.36,CARD,SUCCESS,,0.10872826658501927
T0007149,C00156,2026-01-01 00:33:45,2032.16,CARD,SUCCESS,,0.06597842760643974
T0000805,C00018,2026-01-01 00:33:57,4628.01,NETBANKING,SUCCESS,,0.11539528842619334
T0037500,C00814,2026-01-01 00:34:44,3828.94,CARD,SUCCESS,,0.08605875119996202
T0003795,C00084,2026-01-01 00:36:33,342.87,UPI,SUCCESS,,0.0683507229623174
T0005795,C00128,2026-01-01 00:36:42,6615.65,NETBANKING,SUCCESS,,0.11920025223059671
T0029529,C00643,2026-01-01 00:37:17,375.73,UPI,SUCCESS,,0.06488226010622154
T0006362,C00139,2026-01-01 00:39:03,1575.48,CARD,SUCCESS,,0.06932844084255697
T0001857,C00042,2026-01-01 00:40:15,1540.34,CARD,SUCCESS,,0.034187199776371725
T0004896,C00109,2026-01-01 00:40:57,2486.07,UPI,SUCCESS,,0.06019173587087184
T0014197,C00313,2026-01-01 00:41:53,1073.47,UPI,SUCCESS,,0.06588562852904187
T0007345,C00160,2026-01-01 00:42:01,153.39,CARD,SUCCESS,,0.0674632827927766
T0023046,C00506,2026-01-01 00:43:12,5523.08,UPI,SUCCESS,,0.06388814234733124
T0026598,C00585,2026-01-01 00:43:43,1776.32,UPI,SUCCESS,,0.06583334190885409
T0042473,C00929,2026-01-01 00:44:39,1359.26,UPI,SUCCESS,,0.03891140881266651
