transaction_id,customer_id,timestamp,amount,payment_method
T0037820,C00823,2026-01-01 00:00:42,1414.47,CARD
T0004800,C00107,2026-01-01 00:01:04,876.5,WALLET
T0028717,C00628,2026-01-01 00:01:08,1457.01,UPI
T0012925,C00284,2026-01-01 00:01:22,2597.88,UPI
T0013921,C00305,2026-01-01 00:02:06,2103.39,UPI
T0014946,C00329,2026-01-01 00:04:02,432.37,UPI
T0029440,C00641,2026-01-01 00:05:13,1022.71,CARD
T0039230,C00854,2026-01-01 00:06:11,347.2,CARD
T0037134,C00806,2026-01-01 00:08:24,626.93,UPI
T0028482,C00623,2026-01-01 00:09:26,527.4,CARD
T0020924,C00461,2026-01-01 00:11:03,1826.28,NETBANKING
T0006238,C00137,2026-01-01 00:11:35,4538.59,CARD
T0022636,C00498,2026-01-01 00:11:43,5803.8,CARD
T0003506,C00080,2026-01-01 00:11:51,1229.82,CARD
T0032670,C00711,2026-01-01 00:12:18,3329.93,UPI
T0030859,C00671,2026-01-01 00:12:23,4699.9,UPI
T0015599,C00344,2026-01-01 00:15:40,1604.97,UPI
T0009681,C00211,2026-01-01 00:15:47,624.6,UPI
T0010896,C00236,2026-01-01 00:16:17,630.09,CARD
T0022598,C00497,2026-01-01 00:16:59,4172.87,NETBANKING
T0017845,C00392,2026-01-01 00:17:22,3042.87,UPI
T0010393,C00226,2026-01-01 00:17:40,1162.19,UPI
T0039591,C00862,2026-01-01 00:17:54,2426.71,NETBANKING
T0029960,C00652,2026-01-01 00:18:02,6755.13,UPI
T0017040,C00374,2026-01-01 00:18:58,1373.75,UPI
T0045516,C00992,2026-01-01 00:19:14,1748.6,UPI
T0026096,C00574,2026-01-01 00:19:34,1635.57,UPI
T0001131,C00025,2026-01-01 00:19:45,655.64,UPI
T0033965,C00737,2026-01-01 00:23:15,488.29,UPI
T0012899,C00284,2026-01-01 00:24:29,5771.9,UPI
T0011475,C00252,2026-01-01 00:26:32,964.56,UPI
T0015484,C00342,2026-01-01 00:26:55,1123.55,UPI
T0007126,C00156,2026-01-01 00:27:17,3841.85,CARD
T0043331,C00945,2026-01-01 00:28:22,2172.9,CARD
T0001915,C00043,2026-01-01 00:29:59,989.57,NETBANKING
T0003969,C00087,2026-01-01 00:30:14,588.03,WALLET
T0045009,C00982,2026-01-01 00:32:56,3983.36,CARD
T0007149,C00156,2026-01-01 00:33:45,2032.16,CARD
T0000805,C00018,2026-01-01 00:33:57,4628.01,NETBANKING
T0037500,C00814,2026-01-01 00:34:44,3828.94,CARD
T0003795,C00084,2026-01-01 00:36:33,342.87,UPI
T0005795,C00128,2026-01-01 00:36:42,6615.65,NETBANKING
T0029529,C00643,2026-01-01 00:37:17,375.73,UPI
T0006362,C00139,2026-01-01 00:39:03,1575.48,CARD
T0001857,C00042,2026-01-01 00:40:15,1540.34,CARD
T0004896,C00109,2026-01-01 00:40:57,2486.07,UPI
T0014197,C00313,2026-01-01 00:41:53,1073.47,UPI
T0007345,C00160,2026-01-01 00:42:01,153.39,CARD
T0023046,C00506,2026-01-01 00:43:12,5523.08,UPI
T0026598,C00585,2026-01-01 00:43:43,1776.32,UPI
T0042473,C00929,2026-01-01 00:44:39,1359.26,UPI
T0007402,C00161,2026-01-01 00:45:25,645.98,CARD
T0003199,C00074,2026-01-01 00:45:30,1905.2,CARD
T0001781,C00041,2026-01-01 00:45:57,4176.44,UPI
T0008560,C00186,2026-01-01 00:46:00,151.66,CARD
T0013292,C00291,2026-01-01 00:49:24,2417.67,NETBANKING
T0029003,C00633,2026-01-01 00:49:54,4941.34,CARD
T0021872,C00481,2026-01-01 00:50:32,1823.32,UPI
T0021103,C00465,2026-01-01 00:50:59,1173.09,CARD
T0018106,C00399,2026-01-01 00:51:43,352.87,UPI
T0000765,C00017,2026-01-01 00:54:31,585.73,WALLET
T0010882,C00235,2026-01-01 00:55:01,4214.12,UPI
T0019655,C00433,2026-01-01 00:55:02,1820.69,UPI
T0006226,C00136,2026-01-01 00:55:03,3677.96,UPI
T0040178,C00875,2026-01-01 00:55:25,2511.33,CARD
T0012500,C00274,2026-01-01 00:55:45,1025.83,UPI
T0004975,C00111,2026-01-01 00:58:57,512.86,CARD
T0013197,C00290,2026-01-01 01:00:27,1874.33,UPI
T0019217,C00423,2026-01-01 01:00:47,4728.41,NETBANKING
T0025763,C00568,2026-01-01 01:02:51,8579.48,UPI
T0043257,C00944,2026-01-01 01:03:11,1902.47,UPI
T0031371,C00681,2026-01-01 01:03:15,1951.09,UPI
T0029144,C00636,2026-01-01 01:05:01,2374.54,CARD
T0034770,C00755,2026-01-01 01:06:41,596.69,UPI
T0012789,C00280,2026-01-01 01:07:17,9095.57,NETBANKING
T0038744,C00843,2026-01-01 01:07:36,2656.03,CARD
T0002446,C00056,2026-01-01 01:08:29,1930.31,CARD
T0016582,C00362,2026-01-01 01:08:41,1749.6,CARD
T0004304,C00095,2026-01-01 01:10:06,1727.26,UPI
T0029562,C00643,2026-01-01 01:11:50,938.8,UPI
T0030266,C00659,2026-01-01 01:12:43,3188.8,UPI
T0016202,C00354,2026-01-01 01:13:25,388.54,UPI
T0038084,C00827,2026-01-01 01:13:42,2753.32,CARD
T0014468,C00319,2026-01-01 01:13:45,1890.46,UPI
T0025219,C00554,2026-01-01 01:14:05,2002.23,WALLET
T0023840,C00524,2026-01-01 01:14:09,1845.98,UPI
T0011838,C00260,2026-01-01 01:14:40,2011.54,NETBANKING
T0043502,C00948,2026-01-01 01:15:07,1708.13,UPI
T0020696,C00456,2026-01-01 01:18:00,2539.85,UPI
T0027386,C00599,2026-01-01 01:18:31,1471.99,WALLET
T0031638,C00686,2026-01-01 01:18:45,1418.35,CARD
T0019035,C00418,2026-01-01 01:19:05,1720.41,NETBANKING
T0024529,C00540,2026-01-01 01:20:54,8212.16,WALLET
T0045278,C00987,2026-01-01 01:20:58,2412.26,NETBANKING
T0002537,C00058,2026-01-01 01:22:03,597.88,UPI
T0021934,C00483,2026-01-01 01:23:11,1363.96,UPI
T0025959,C00571,2026-01-01 01:24:43,1146.93,UPI
