policy,interventions,intervention_rate,recovered_payments,recovered_value,recovery_rate_value,intervention_cost,friction_cost,net_recovered_value,net_per_intervention,expected_value
RETRY_ALL,581,1.0,388,866564.81,0.6693532230407718,871.5,145.25,865548.06,1489.7556970740104,636414.3283124866
TOP_5,30,0.05163511187607573,23,204852.28999999998,0.15823229719977072,45.0,7.5,204799.78999999998,6826.6596666666655,133634.23898627068
TOP_10,59,0.10154905335628227,43,300935.88999999996,0.23244932816986086,88.5,14.75,300832.63999999996,5098.858305084745,205619.34967393958
TOP_20,117,0.20137693631669534,83,448345.13,0.3463113829883466,175.5,29.25,448140.38,3830.259658119658,316331.31895615236
TOP_30,175,0.30120481927710846,121,554298.45,0.4281519971183737,262.5,43.75,553992.2,3165.6697142857142,399868.2826179352
TOP_40,233,0.4010327022375215,154,624885.77,0.4826751552279332,349.5,58.25,624478.02,2680.1631759656652,463044.16376341856
TOP_50,291,0.5008605851979346,193,693496.6699999999,0.5356716841900636,436.5,72.75,692987.4199999999,2381.400068728522,513340.2823483021
TOP_60,349,0.6006884681583476,239,753260.81,0.581834786210396,523.5,87.25,752650.06,2156.590429799427,554169.5117060016
TOP_70,407,0.7005163511187608,277,796260.8,0.6150488996443594,610.5,101.75,795548.55,1954.6647420147422,586081.9319983524
TOP_80,465,0.8003442340791739,313,827951.1900000001,0.6395272357608688,697.5,116.25,827137.4400000001,1778.7901935483872,609665.9148572029
TOP_90,523,0.9001721170395869,357,856293.94,0.6614197830272859,784.5,130.75,855378.69,1635.523307839388,627049.8759275173
PROBABILITY_0.40,507,0.8726333907056799,355,742954.5199999999,0.5738739870301327,760.5,126.75,742067.2699999999,1463.643530571992,553167.9421757201
PROBABILITY_0.45,386,0.6643717728055077,287,591084.69,0.4565664769396249,579.0,96.5,590409.19,1529.5574870466319,443039.9226567179
PROBABILITY_0.50,308,0.5301204819277109,228,464466.11,0.35876357328854563,462.0,77.0,463927.11,1506.2568506493506,367105.8952925962
PROBABILITY_0.55,199,0.342512908777969,156,323075.9,0.2495507461834252,298.5,49.75,322727.65,1621.7469849246231,248816.91860777672
PROBABILITY_0.60,99,0.1703958691910499,79,175987.81999999998,0.13593676222891993,148.5,24.75,175814.56999999998,1775.9047474747472,136112.849774987
PROBABILITY_0.65,23,0.039586919104991396,19,63149.68,0.04877816564232901,34.5,5.75,63109.43,2743.8882608695653,47540.16528035655
PROBABILITY_0.70,1,0.0017211703958691911,1,450.44,0.00034792950545324504,1.5,0.25,448.69,448.69,317.3119161273263
PROBABILITY_0.75,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROBABILITY_0.80,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSITIVE_ECONOMIC_VALUE,581,1.0,388,866564.81,0.6693532230407718,871.5,145.25,865548.06,1489.7556970740104,636414.3283124866
HIGH_CONFIDENCE_ECONOMIC_VALUE,9,0.01549053356282272,7,30010.59,0.023180822611358006,13.5,2.25,29994.84,3332.76,21947.55882136844
