transaction_id,amount,recovery_probability,recovery_flag,recovered_amount,expected_recovery,intervention_cost,friction_cost,expected_action_cost,expected_net_recovery,incremental_economic_value,should_intervene,action,economic_priority,economic_rank
T0022306,26703.03,0.3432546856613142,1,26703.03,9165.940168854642,1.5,0.25,1.75,9164.190168854642,9164.190168854642,True,RETRY,HIGH,1
T0026878,12853.93,0.6599279938780305,1,12853.93,8482.668238348633,1.5,0.25,1.75,8480.918238348633,8480.918238348633,True,RETRY,HIGH,2
T0000835,9567.33,0.6924871494467064,1,9567.33,6625.253079515957,1.5,0.25,1.75,6623.503079515957,6623.503079515957,True,RETRY,HIGH,3
T0038230,11837.46,0.5336415544564067,1,11837.46,6316.960555215535,1.5,0.25,1.75,6315.210555215535,6315.210555215535,True,RETRY,HIGH,4
T0032751,13412.25,0.4587827320453022,1,13412.25,6153.308697874604,1.5,0.25,1.75,6151.558697874604,6151.558697874604,True,RETRY,HIGH,5
T0007170,10058.29,0.5950646718849923,0,0.0,5985.3330385741,1.5,0.25,1.75,5983.5830385741,5983.5830385741,True,RETRY,HIGH,6
T0019894,11801.87,0.4340136618784932,1,11801.87,5122.172815713933,1.5,0.25,1.75,5120.422815713933,5120.422815713933,True,RETRY,HIGH,7
T0014488,9490.22,0.5376191914477411,0,0.0,5102.124403061181,1.5,0.25,1.75,5100.374403061181,5100.374403061181,True,RETRY,HIGH,8
T0041621,8270.53,0.6145357949947704,1,8270.53,5082.5367285780985,1.5,0.25,1.75,5080.7867285780985,5080.7867285780985,True,RETRY,HIGH,9
T0038663,20646.44,0.2459145887381636,0,0.0,5077.26080150717,1.5,0.25,1.75,5075.51080150717,5075.51080150717,True,RETRY,HIGH,10
T0012356,10751.67,0.441407603043249,1,10751.67,4745.868883412009,1.5,0.25,1.75,4744.118883412009,4744.118883412009,True,RETRY,HIGH,11
T0039243,10270.54,0.4543891280420528,1,10270.54,4666.821715121026,1.5,0.25,1.75,4665.071715121026,4665.071715121026,True,RETRY,HIGH,12
T0031286,9521.22,0.4391937571875489,0,0.0,4181.660384809234,1.5,0.25,1.75,4179.910384809234,4179.910384809234,True,RETRY,HIGH,13
T0011868,10458.95,0.3948181470127104,1,10458.95,4129.383258698587,1.5,0.25,1.75,4127.633258698587,4127.633258698587,True,RETRY,HIGH,14
T0034332,5766.06,0.6790613679560724,1,5766.06,3915.5085913167914,1.5,0.25,1.75,3913.7585913167914,3913.7585913167914,True,RETRY,HIGH,15
T0014941,5939.97,0.6500377360373243,1,5939.97,3861.204650929625,1.5,0.25,1.75,3859.454650929625,3859.454650929625,True,RETRY,HIGH,16
T0014445,9629.4,0.394818372962938,0,0.0,3801.864040609315,1.5,0.25,1.75,3800.114040609315,3800.114040609315,True,RETRY,HIGH,17
T0033473,6449.65,0.553570316070259,1,6449.65,3570.3347890425457,1.5,0.25,1.75,3568.5847890425457,3568.5847890425457,True,RETRY,HIGH,18
T0034060,10016.59,0.3441637606847962,1,10016.59,3447.3472836377227,1.5,0.25,1.75,3445.5972836377227,3445.5972836377227,True,RETRY,HIGH,19
T0018044,5641.17,0.5745428075978803,1,5641.17,3241.0936499369345,1.5,0.25,1.75,3239.3436499369345,3239.3436499369345,True,RETRY,HIGH,20
T0022168,6466.34,0.5011056884215934,1,6466.34,3240.3197572680865,1.5,0.25,1.75,3238.5697572680865,3238.5697572680865,True,RETRY,HIGH,21
T0038652,8636.8,0.3746778133938617,0,0.0,3236.0173387201044,1.5,0.25,1.75,3234.2673387201044,3234.2673387201044,True,RETRY,HIGH,22
T0034611,5469.4,0.5907946489374517,1,5469.4,3231.292252898498,1.5,0.25,1.75,3229.542252898498,3229.542252898498,True,RETRY,HIGH,23
T0017466,5768.13,0.5437852483931201,0,0.0,3136.6240048138084,1.5,0.25,1.75,3134.8740048138084,3134.8740048138084,True,RETRY,HIGH,24
T0007949,4973.81,0.6230417119144172,1,4973.81,3098.8910971370474,1.5,0.25,1.75,3097.1410971370474,3097.1410971370474,True,RETRY,HIGH,25
T0023546,9465.34,0.3234810233299963,1,9465.34,3061.857869366347,1.5,0.25,1.75,3060.107869366347,3060.107869366347,True,RETRY,HIGH,26
T0026292,4568.22,0.6697928981701375,1,4568.22,3059.761313278786,1.5,0.25,1.75,3058.011313278786,3058.011313278786,True,RETRY,HIGH,27
T0019706,4802.65,0.6326804838190164,1,4802.65,3038.542925613399,1.5,0.25,1.75,3036.792925613399,3036.792925613399,True,RETRY,HIGH,28
T0011826,4436.97,0.6744202868158924,1,4436.97,2992.3825799935103,1.5,0.25,1.75,2990.6325799935103,2990.6325799935103,True,RETRY,HIGH,29
T0005295,4928.56,0.5917355317625158,1,4928.56,2916.404072423465,1.5,0.25,1.75,2914.654072423465,2914.654072423465,True,RETRY,HIGH,30
T0005715,6531.21,0.4450454033126302,0,0.0,2906.6849885694837,1.5,0.25,1.75,2904.9349885694837,2904.9349885694837,True,RETRY,HIGH,31
T0045321,5159.02,0.5619537717799119,1,5159.02,2899.1307476880015,1.5,0.25,1.75,2897.3807476880015,2897.3807476880015,True,RETRY,HIGH,32
T0007824,6529.86,0.4375447572982346,0,0.0,2857.10600889145,1.5,0.25,1.75,2855.35600889145,2855.35600889145,True,RETRY,HIGH,33
T0032003,4222.16,0.676245375669082,1,4222.16,2855.2161753349715,1.5,0.25,1.75,2853.4661753349715,2853.4661753349715,True,RETRY,HIGH,34
T0012051,4494.92,0.618869446770873,0,0.0,2781.768653679332,1.5,0.25,1.75,2780.018653679332,2780.018653679332,True,RETRY,HIGH,35
T0042526,6160.93,0.4463599982429644,1,6160.93,2749.992703975027,1.5,0.25,1.75,2748.242703975027,2748.242703975027,True,RETRY,HIGH,36
T0037912,5740.47,0.4639761526551749,1,5740.47,2663.441185032452,1.5,0.25,1.75,2661.691185032452,2661.691185032452,True,RETRY,HIGH,37
T0034042,4600.71,0.5724095882435771,1,4600.71,2633.4905167281077,1.5,0.25,1.75,2631.7405167281077,2631.7405167281077,True,RETRY,HIGH,38
